School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      86,      73,      73,      81,      72,       0,       0,       0,       0,       0,       0,       0,       0,       0,     385,      28,   7.3,      15,   3.9,      37,   9.6,     141,  36.6, , ,   2.1,   4.9,   4.9,  83.9,   0.0,   0.0,   4.2,  47.5,  52.5,     204,20.1,        390,26.5,100.0,     168,100.0,  14.5 to 1,"     $20,346,413","  $63,384",    321.0,37.0,      36,  97.3,   0.0,  97.2,   2.8,   0.0,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      47,      65,      65,      63,      57,       0,       0,       0,       0,       0,       0,       0,       0,       0,     297,       8,   2.7,       6,   2.0,      38,  12.8,     141,  47.5, , ,   1.7,   2.0,   8.1,  86.2,   0.0,   0.0,   2.0,  47.1,  52.9,     159,20.1,        300,22.0,100.0,     126,100.0,  13.5 to 1,"     $20,346,413","  $63,384",    321.0,31.0,      30,  96.8,-,-,-,-,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      72,      56,      68,      88,      69,       0,       0,       0,       0,       0,       0,       0,       0,       0,     353,      33,   9.3,      27,   7.6,      53,  15.0,     164,  46.5, , ,   2.0,   4.2,   7.4,  84.1,   0.0,   0.0,   2.3,  47.3,  52.7,     184,20.0,        348,27.0,100.0,     156,100.0,  13.1 to 1,"     $20,346,413","  $63,384",    321.0,36.0,      35,  97.2,-,-,-,-,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     315,     288,       4,       2,       0,       0,       0,       0,       0,     609,      34,   5.6,      14,   2.3,     110,  18.1,     278,  45.6, , ,   0.8,   1.6,   4.4,  90.8,   0.0,   0.0,   2.3,  47.9,  52.1,     349,17.9,        613,47.0,100.0,     295,100.0,  13.0 to 1,"     $20,346,413","  $63,384",    321.0,58.0,      57,  98.3,   3.5,  94.7,   1.8,   0.0,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      81,      82,      89,      77,      71,       0,       0,       0,       0,       0,       0,       0,       0,       0,     400,      64,  16.0,      51,  12.8,      52,  13.0,     197,  49.2, , ,   2.0,   2.5,   6.5,  86.0,   0.0,   0.0,   3.0,  51.2,  48.8,     215,19.3,        394,28.9,100.0,     184,100.0,  13.8 to 1,"     $20,346,413","  $63,384",    321.0,38.0,      37,  97.4,   5.4,  94.6,   0.0,   0.0,"          $51,605,213.40","           4,046.9","              $12,751.79","          $56,982,676.00","           4,175.5","              $13,646.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,       0,      39,      40,      43,      38,      40,       0,       0,       0,       0,       0,       0,       0,       0,       0,     200,      49,  24.5,      27,  13.5,      40,  20.0,     164,  82.0, , ,  19.5,   1.0,  43.5,  29.0,   0.0,   0.0,   7.0,  46.5,  53.5,      42,20.0,        200,19.0,36.9,      72,44.4,  10.5 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      36,      90,      80,      80,      80,      70,       0,       0,       0,       0,       0,       0,       0,       0,       0,     436,       0,   0.0,       0,   0.0,      82,  18.8,     168,  38.5, , ,   1.8,   0.7,   3.4,  91.3,   0.0,   0.0,   2.8,  53.2,  46.8,     175,19.9,        433,29.2,96.6,     143,100.0,  14.9 to 1,"     $11,850,114","  $75,143",    157.7,38.0,      36,  94.7,-,-,-,-,"          $29,444,378.36","           2,342.1","              $12,571.79","          $33,262,564.52","           2,511.6","              $13,243.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     170,     175,     137,     158,       1,     641,      15,   2.3,       7,   1.1,     107,  16.7,     219,  34.2, , ,   0.6,   1.4,   3.9,  92.0,   0.0,   0.0,   2.0,  52.0,  48.0,     393,17.2,        652,43.2,100.0,     281,100.0,  14.8 to 1,"     $11,850,114","  $75,143",    157.7,55.0,      51,  92.7,   2.0,  96.1,   2.0,   0.0,"          $29,444,378.36","           2,342.1","              $12,571.79","          $33,262,564.52","           2,511.6","              $13,243.58",158.0,90.5,3.2,0.0,1.9,4.4,0.0,     640,9.0,1.4,,,,,,,,,,,147.0,147.0,100.0,80.0,     126,41.0,35.0,2.0,1.0,1.0,1.0,16.0,44.0,40.0,25.0,13.5,86.5,100.0,529.0,541.0,62.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,850,114","  $75,143",    157.7,,,,,,,,"          $29,444,378.36","           2,342.1","              $12,571.79","          $33,262,564.52","           2,511.6","              $13,243.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     182,     190,     188,     178,       0,       0,       0,       0,       0,     738,      20,   2.7,       6,   0.8,     133,  18.0,     281,  38.1, , ,   1.8,   0.9,   4.1,  89.8,   0.0,   0.0,   3.4,  54.5,  45.5,     434,18.3,        736,52.5,100.0,     309,92.2,  14.1 to 1,"     $11,850,114","  $75,143",    157.7,63.0,      61,  96.8,   0.0,  98.4,   1.6,   0.0,"          $29,444,378.36","           2,342.1","              $12,571.79","          $33,262,564.52","           2,511.6","              $13,243.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      47,      84,      95,     106,      92,     109,       0,       0,       0,       0,       0,       0,       0,       0,       0,     533,      19,   3.6,       9,   1.7,     104,  19.5,     210,  39.4, , ,   1.5,   1.7,   5.1,  88.6,   0.0,   0.4,   2.8,  49.2,  50.8,     189,23.1,        547,31.9,100.0,     143,96.5,  16.7 to 1,"     $11,850,114","  $75,143",    157.7,41.0,      40,  97.6,  10.0,  87.5,   2.5,   0.0,"          $29,444,378.36","           2,342.1","              $12,571.79","          $33,262,564.52","           2,511.6","              $13,243.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      65,      59,      43,      57,      54,      45,      66,      46,       0,       0,       0,       0,       0,       0,       0,     435,      79,  18.2,      63,  14.5,      83,  19.1,     224,  51.5, , ,  11.0,  14.9,  20.7,  45.7,   0.0,   0.5,   7.1,  50.3,  49.7,     102,20.6,        438,35.6,99.3,     146,100.0,  12.2 to 1,"      $8,025,622","  $70,462",    113.9,49.0,      48,  98.0,  10.4,  89.6,   0.0,   0.0,"          $23,718,709.00","           1,196.7","              $19,820.10","          $25,190,862.00","           1,287.1","              $19,571.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      40,      59,      55,      38,      61,      56,      59,       0,       0,       0,       0,       0,       0,       0,     368,      90,  24.5,      62,  16.8,      77,  20.9,     180,  48.9, , ,   7.9,  13.6,  20.9,  48.6,   0.3,   0.3,   8.4,  49.7,  50.3,     106,20.1,        377,38.1,99.3,     144,100.0,   9.7 to 1,"      $8,025,622","  $70,462",    113.9,53.0,      52,  98.1,  11.5,  86.5,   1.9,   0.0,"          $23,718,709.00","           1,196.7","              $19,820.10","          $25,190,862.00","           1,287.1","              $19,571.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      53,      63,      48,      49,      61,      69,      64,       0,       0,       0,       0,       0,       0,       0,     407,      86,  21.1,      44,  10.8,      64,  15.7,     198,  48.6, , ,   8.1,  10.1,  17.9,  53.8,   0.0,   0.0,  10.1,  51.4,  48.6,     116,19.6,        401,40.2,99.4,     159,100.0,  10.1 to 1,"      $8,025,622","  $70,462",    113.9,53.0,      53, 100.0,  20.8,  77.4,   1.9,   0.0,"          $23,718,709.00","           1,196.7","              $19,820.10","          $25,190,862.00","           1,287.1","              $19,571.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0
