School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,School Percentile (1-99)
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,      97,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      97,       5,5.2,       0,0.0,      36,37.1, , ,      40,41.2,       8,8.2,5.2,40.2,3.1,46.4,3.1,0.0,2.1,59.8,40.2,      10,11.1,        110,7.0,100.0,      26,100.0,13.9,"     $30,605,864","  $82,318",    372.0,       8,       8, 100.0,  25.0,  75.0,   0.0,   0.0,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      58,      40,      45,      75,      90,      68,      75,       0,       0,       0,       0,       0,       0,       0,     451,     118,26.2,      60,13.3,      72,16.0, , ,     149,33.0,      32,7.1,2.9,60.8,4.2,29.5,0.0,0.0,2.7,50.1,49.9,     142,22.7,        451,28.1,100.0,     122,100.0,16.0,"     $30,605,864","  $82,318",    372.0,      36,      36, 100.0,   5.6,  94.4,   0.0,   0.0,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         225,77.0,          61,21.0,         164,56.0,          61,21.0,           5,2.0,         291,514.2,71.0,         206,97.0,         231,79.0,          93,32.0,         138,47.0,          52,18.0,          10,3.0,         293,517.9,76.0,         208,99.0,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      63,      58,      68,      71,      72,      69,      74,       0,       0,       0,       0,       0,       0,       0,     475,      85,17.9,      35,7.4,      70,14.7, , ,     139,29.3,      42,8.8,3.4,11.4,9.1,70.1,0.6,0.0,5.5,51.2,48.8,     149,22.5,        474,29.5,100.0,     128,100.0,16.1,"     $30,605,864","  $82,318",    372.0,      37,      37, 100.0,   8.1,  91.9,   0.0,   0.0,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         155,57.0,          22,8.0,         133,49.0,         107,39.0,          11,4.0,         273,503.3,53.0,         197,65.0,         170,62.0,          34,12.0,         136,50.0,          92,34.0,          12,4.0,         274,505.3,57.0,         198,74.0,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      63,      59,      69,      84,      74,      69,      99,       0,       0,       0,       0,       0,       0,       0,     517,      64,12.4,      26,5.0,      80,15.5, , ,     132,25.5,      34,6.6,2.5,20.5,5.4,68.1,0.0,0.2,3.3,53.8,46.2,     163,22.2,        513,32.5,100.0,     140,100.0,15.9,"     $30,605,864","  $82,318",    372.0,      40,      39,  97.5,   5.1,  92.3,   2.6,   0.0,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         203,65.0,          33,11.0,         170,54.0,         103,33.0,           8,3.0,         314,507.4,66.5,         222,82.0,         219,70.0,          52,17.0,         167,53.0,          81,26.0,          14,4.0,         314,510.3,75.0,         225,89.0,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      40,      57,      68,      50,      45,      70,      74,       0,       0,       0,       0,       0,       0,       0,     404,      80,19.8,      40,9.9,      67,16.6, , ,     125,30.9,      40,9.9,1.7,51.0,3.5,39.9,1.0,0.2,2.7,52.5,47.5,     128,22.8,        411,26.5,100.0,     110,100.0,15.2,"     $30,605,864","  $82,318",    372.0,      34,      33,  97.1,   3.0,  97.0,   0.0,   0.0,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         182,76.0,          59,25.0,         123,51.0,          52,22.0,           5,2.0,         239,514.6,71.0,         185,97.0,         189,79.0,          62,26.0,         127,53.0,          42,18.0,           8,3.0,         239,517.1,77.0,         185,98.0,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     469,     442,       0,       0,       0,       0,       0,     911,     151,16.6,      17,1.9,     141,15.5, , ,     201,22.1,      47,5.2,2.0,31.8,3.7,56.8,0.1,0.0,5.6,52.3,47.7,     558,22.8,        924,66.8,100.0,     303,100.0,13.6,"     $30,605,864","  $82,318",    372.0,      82,      80,  97.6,  11.3,  88.8,   0.0,   0.0,"          $78,051,554.00","           5,613.9","              $13,903.27","          $87,351,122.00","           5,747.5","              $15,198.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         673,76.0,         109,12.0,         564,63.0,         203,23.0,          13,1.0,         889,511.0,55.0,         856,92.0,         749,84.0,         308,35.0,         441,49.0,         129,14.0,          13,1.0,         891,520.5,68.0,         858,99.0,
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      50,      84,      99,     102,     107,      96,       0,       0,       0,       0,       0,       0,       0,       0,       0,     538,       3,0.6,       2,0.4,      77,14.3, , ,     191,35.5,     136,25.3,0.7,0.2,3.3,92.8,0.2,0.0,2.8,53.2,46.8,     172,18.7,        548,38.6,100.0,     171,97.1,13.9,"      $5,074,860","  $71,477",     71.0,      49,      48,  98.0,   6.3,  93.8,   0.0,   0.0,"          $12,132,993.00",             973.1,"              $12,468.39","          $15,868,705.00","           1,279.9","              $12,398.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          95,48.0,           7,4.0,          88,44.0,          94,47.0,          10,5.0,         199,499.9,54.0,          91,51.0,          95,48.0,           8,4.0,          87,44.0,          90,45.0,          14,7.0,         199,499.1,51.0,          89,49.0,
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     105,     121,      77,     114,       0,       0,       0,       0,       0,     417,       4,1.0,       2,0.5,      57,13.7, , ,     122,29.3,      82,19.7,0.7,0.2,1.0,97.4,0.0,0.0,0.7,50.8,49.2,     372,18.5,        423,32.4,100.0,     225,100.0,12.9,"      $5,074,860","  $71,477",     71.0,      39,      37,  94.9,  13.5,  78.4,   2.7,   5.4,"          $12,132,993.00",             973.1,"              $12,468.39","          $15,868,705.00","           1,279.9","              $12,398.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         151,36.0,           3,1.0,         148,36.0,         234,57.0,          29,7.0,         414,493.6,31.0,         399,25.0,         201,48.0,          20,5.0,         181,44.0,         182,44.0,          32,8.0,         415,498.4,43.0,         396,46.0,
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     154,     151,     149,     142,     126,     105,     125,       0,     952,     170,17.9,      12,1.3,      46,4.8, , ,     111,11.7,      58,6.1,2.4,19.2,5.8,66.9,0.3,0.0,5.4,51.7,48.3,     475,19.4,        973,78.4,88.9,     371,100.0,12.1,,,,,,,,,,,"          $14,184,129.78",             969.6,"              $14,628.93","          $14,184,129.78",             969.6,"              $14,628.93",       127,97.6,0.8,0.0,1.6,0.0,0.0,     498,0.0,0.0,124.0,111.0,89.5,0.0,43.5,3.2,42.7,3.2,4.8,22.6,86.2,124.0,124.0,100.0,     226,     368,128.0,61.0,30.0,7.0,0.0,18.0,41.0,98.0,99.0,112.0,16.0,84.0,155.0,613.0,645.0,         350,75.0,          63,14.0,         287,62.0,         110,24.0,           6,1.0,         466,511.7,62.0,         410,93.0,         345,74.0,          94,20.0,         251,54.0,         118,25.0,           6,1.0,         469,512.9,59.0,         413,94.0,
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     151,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     151,       2,1.3,       0,0.0,      62,41.1, , ,      78,51.7,      45,29.8,4.6,8.6,12.6,71.5,0.0,0.0,2.6,57.6,42.4,      16,11.8,        188,10.0,100.0,      24,100.0,15.1,"     $22,814,271","  $69,650",    328.0,      14,      14, 100.0,-,-,-,-,"          $58,465,241.00","           3,908.8","              $14,957.34","          $63,338,234.00","           4,028.9","              $15,720.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     299,     309,     293,     315,       6,"   1,222",      56,4.6,      16,1.3,     172,14.1, , ,     391,32.0,     277,22.7,1.2,2.2,5.8,88.8,0.0,0.1,1.9,52.0,48.0,     600,15.8,"      1,192",95.7,100.0,     415,100.0,12.8,"     $22,814,271","  $69,650",    328.0,     114,     114, 100.0,  11.4,  88.6,   0.0,   0.0,"          $58,465,241.00","           3,908.8","              $14,957.34","          $63,338,234.00","           4,028.9","              $15,720.97",       323,91.6,2.8,1.2,0.6,3.7,0.0,"   1,216",12.0,1.0,297.0,235.0,79.1,0.0,28.6,25.3,25.3,24.9,13.5,7.4,53.900000000000006,297.0,239.0,80.5,     228,     444,101.0,67.0,39.0,14.0,7.0,34.0,138.0,145.0,83.0,44.0,38.7,61.3,290.0,544.0,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     253,     309,       0,       0,       0,       0,       0,     562,      35,6.2,       6,1.1,      84,14.9, , ,     194,34.5,     131,23.3,1.4,1.4,7.1,87.0,0.0,0.0,3.0,47.9,52.1,     783,12.0,        572,59.7,100.0,     373,100.0,9.4,"     $22,814,271","  $69,650",    328.0,      73,      73, 100.0,  16.4,  83.6,   0.0,   0.0,"          $58,465,241.00","           3,908.8","              $14,957.34","          $63,338,234.00","           4,028.9","              $15,720.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         242,44.0,          21,4.0,         221,40.0,         265,48.0,          46,8.0,         553,496.1,44.5,         534,35.0,         238,43.0,          24,4.0,         214,39.0,         280,51.0,          34,6.0,         552,497.3,40.0,         534,41.0,
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      91,      62,      72,      86,      74,       0,       0,       0,       0,       0,       0,       0,       0,       0,     385,      60,15.6,      51,13.2,      50,13.0, , ,     161,41.8,     103,26.8,2.1,2.9,4.9,88.1,0.0,0.0,2.1,52.7,47.3,     225,18.3,        393,28.5,100.0,     188,100.0,13.5,"     $22,814,271","  $69,650",    328.0,      38,      38, 100.0,  10.5,  89.5,   0.0,   0.0,"          $58,465,241.00","           3,908.8","              $14,957.34","          $63,338,234.00","           4,028.9","              $15,720.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          56,36.0,           3,2.0,          53,34.0,          82,53.0,          17,11.0,         155,492.2,25.0,          72,21.0,          68,44.0,           4,3.0,          64,41.0,          73,47.0,          15,10.0,         156,496.1,36.0,          73,36.0,
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      60,      43,      66,      64,      60,       0,       0,       0,       0,       0,       0,       0,       0,       0,     293,      26,8.9,      21,7.2,      56,19.1, , ,     134,45.7,      96,32.8,1.4,1.0,9.6,85.0,0.0,0.3,2.7,50.2,49.8,     148,21.4,        299,21.6,100.0,     117,100.0,13.6,"     $22,814,271","  $69,650",    328.0,      33,      33, 100.0,   9.1,  90.9,   0.0,   0.0,"          $58,465,241.00","           3,908.8","              $14,957.34","          $63,338,234.00","           4,028.9","              $15,720.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          59,48.0,           4,3.0,          55,45.0,          60,49.0,           4,3.0,         123,497.6,43.0,          59,41.0,          82,67.0,           9,7.0,          73,59.0,          37,30.0,           4,3.0,         123,505.8,64.0,          58,76.0,
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      67,      67,      61,      74,      60,       0,       0,       0,       0,       0,       0,       0,       0,       0,     329,      45,13.7,      39,11.9,      58,17.6, , ,     149,45.3,      95,28.9,3.0,3.3,9.4,82.4,0.0,0.0,1.8,53.2,46.8,     181,19.7,        341,27.4,100.0,     178,100.0,12.0,"     $22,814,271","  $69,650",    328.0,      37,      37, 100.0,-,-,-,-,"          $58,465,241.00","           3,908.8","              $14,957.34","          $63,338,234.00","           4,028.9","              $15,720.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          76,58.0,           6,5.0,          70,53.0,          40,31.0,          15,11.0,         131,499.5,58.5,          58,49.0,          83,63.0,           9,7.0,          74,56.0,          32,24.0,          16,12.0,         131,500.8,53.0,          58,56.0,
