School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $29,363,081","  $79,900",    368.0,,,,,,,,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      36,      44,      69,      71,      68,      72,      74,       0,       0,       0,       0,       0,       0,       0,     434,      92,  21.2,      47,  10.8,      75,  17.3,     129,  29.7,      20,   4.6,   2.5,  61.5,   2.5,  30.6,   0.0,   0.0,   2.8,  48.6,  51.4,     135,22.9,        435,27.9,100.0,     116,100.0,  15.6 to 1,"     $29,363,081","  $79,900",    368.0,35.0,35.0,100.0,   8.6,  91.4,   0.0,   0.0,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      55,      65,      69,      71,      65,      72,      72,       0,       0,       0,       0,       0,       0,       0,     469,      89,  19.0,      36,   7.7,      71,  15.1,     132,  28.1,      34,   7.2,   2.6,  12.4,   9.2,  70.4,   0.6,   0.0,   4.9,  49.7,  50.3,     149,22.8,        479,29.2,100.0,     128,100.0,  16.1 to 1,"     $29,363,081","  $79,900",    368.0,37.0,35.0,94.6,   8.6,  88.6,   2.9,   0.0,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,      79,      55,      65,      70,      72,      66,      90,      94,       0,       0,       0,       0,       0,       0,       0,     591,      65,  11.0,      28,   4.7,     120,  20.3,     169,  28.6,      30,   5.1,   1.7,  26.6,   3.9,  65.3,   0.0,   0.2,   2.4,  53.1,  46.9,     170,22.2,        610,36.7,100.0,     155,100.0,  16.1 to 1,"     $29,363,081","  $79,900",    368.0,45.0,43.0,95.6,   9.3,  90.7,   0.0,   0.0,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      52,      68,      48,      47,      67,      72,      74,       0,       0,       0,       0,       0,       0,       0,     428,      83,  19.4,      45,  10.5,      78,  18.2,     139,  32.5,      36,   8.4,   2.1,  48.4,   1.6,  44.6,   0.5,   0.0,   2.8,  52.6,  47.4,     135,22.4,        425,26.9,100.0,     116,100.0,  15.9 to 1,"     $29,363,081","  $79,900",    368.0,36.0,34.0,94.4,   5.9,  94.1,   0.0,   0.0,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     445,     443,       0,       0,       0,       0,       0,     888,     151,  17.0,       9,   1.0,     136,  15.3,     176,  19.8,      42,   4.7,   2.4,  31.1,   2.3,  59.6,   0.3,   0.0,   4.4,  53.3,  46.7,     547,22.3,        895,65.1,100.0,     284,100.0,  13.6 to 1,"     $29,363,081","  $79,900",    368.0,79.0,75.0,94.9,   8.0,  92.0,   0.0,   0.0,"          $75,091,091.00","           5,605.5","              $13,395.97","          $84,730,365.00","           5,746.3","              $14,745.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      48,      92,     101,     108,      94,     104,       0,       0,       0,       0,       0,       0,       0,       0,       0,     547,       3,   0.5,       2,   0.4,      84,  15.4,     174,  31.8,     113,  20.7,   0.2,   0.0,   1.6,  97.6,   0.0,   0.0,   0.5,  53.7,  46.3,     237,20.1,        558,37.0,100.0,     188,97.3,  14.8 to 1,"      $4,755,405","  $67,934",     70.0,46.0,46.0,100.0,   4.3,  87.0,   8.7,   0.0,"          $11,365,614.00",             966.7,"              $11,757.13","          $15,705,696.00","           1,295.9","              $12,119.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     116,      78,     118,     111,       0,       0,       0,       0,       0,     423,       8,   1.9,       4,   0.9,      70,  16.5,     131,  31.0,      79,  18.7,   0.9,   0.5,   1.2,  97.4,   0.0,   0.0,   0.0,  50.1,  49.9,     309,16.9,        426,33.0,100.0,     190,100.0,  12.8 to 1,"      $4,755,405","  $67,934",     70.0,38.0,38.0,100.0,  10.5,  81.6,   7.9,   0.0,"          $11,365,614.00",             966.7,"              $11,757.13","          $15,705,696.00","           1,295.9","              $12,119.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     140,     142,     146,     135,     115,     129,     182,       0,     989,     174,  17.6,       1,   0.1,      44,   4.4,     101,  10.2,      56,   5.7,   2.8,  22.9,   5.4,  64.7,   0.2,   0.0,   4.0,  51.2,  48.8,     480,19.3,        981,76.4,91.0,     377,100.0,  13.0 to 1,,,,,,,,,,,,,,,,,       181,100.0,0.0,0.0,0.0,0.0,0.0,     561,1.0,0.2,181.0,153.0,84.5,0.0,49.7,1.3,49.0,0.7,7.8,19.6,181.0,181.0,100.0,     290,     581,124.0,81.0,56.0,20.0,9.0,20.0,69.0,130.0,166.0,196.0,15.3,84.7,176.0,606.0,658.0,98.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     168,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     168,       0,   0.0,       0,   0.0,      67,  39.9,      97,  57.7,      60,  35.7,   4.2,   1.8,   6.0,  86.3,   0.0,   0.0,   1.8,  56.5,  43.5,      16,11.9,        191,7.2,100.0,      26,100.0,  23.5 to 1,"     $22,248,427","  $68,965",    323.0,13.0,12.0,92.3,-,-,-,-,"          $57,009,484.00","           3,877.2","              $14,703.78","          $62,080,434.00","           3,996.6","              $15,533.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     319,     302,     316,     312,       0,"   1,249",      50,   4.0,      16,   1.3,     157,  12.6,     376,  30.1,     256,  20.5,   1.4,   2.1,   6.1,  88.2,   0.1,   0.2,   2.0,  51.9,  48.1,     590,16.8,"      1,242",97.4,100.0,     410,100.0,  12.8 to 1,"     $22,248,427","  $68,965",    323.0,115.0,113.0,98.3,   6.2,  92.9,   0.9,   0.0,"          $57,009,484.00","           3,877.2","              $14,703.78","          $62,080,434.00","           3,996.6","              $15,533.31",       325,94.2,1.8,0.0,0.3,3.7,0.0,"   1,249",20.0,1.6,311.0,240.0,77.2,0.0,34.2,33.3,32.5,32.9,16.3,10.0,311.0,278.0,89.4,     242,     452,124.0,59.0,34.0,22.0,3.0,28.0,124.0,155.0,105.0,40.0,33.6,66.4,234.0,496.0,514.0,41.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     305,     296,       0,       0,       0,       0,       0,     601,      36,   6.0,       8,   1.3,      90,  15.0,     199,  33.1,     131,  21.8,   0.8,   1.3,   5.8,  90.0,   0.0,   0.0,   2.0,  48.4,  51.6,     847,11.8,        607,62.6,100.0,     393,100.0,   9.6 to 1,"     $22,248,427","  $68,965",    323.0,72.0,71.0,98.6,  16.9,  83.1,   0.0,   0.0,"          $57,009,484.00","           3,877.2","              $14,703.78","          $62,080,434.00","           3,996.6","              $15,533.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      62,      74,      86,      76,      66,       0,       0,       0,       0,       0,       0,       0,       0,       0,     364,      43,  11.8,      33,   9.1,      44,  12.1,     141,  38.7,      93,  25.5,   2.7,   3.0,   4.1,  87.9,   0.0,   0.0,   2.2,  56.3,  43.7,     229,16.8,        361,27.0,100.0,     187,100.0,  13.5 to 1,"     $22,248,427","  $68,965",    323.0,36.0,35.0,97.2,-,-,-,-,"          $57,009,484.00","           3,877.2","              $14,703.78","          $62,080,434.00","           3,996.6","              $15,533.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      40,      65,      62,      61,      64,       0,       0,       0,       0,       0,       0,       0,       0,       0,     292,      17,   5.8,      15,   5.1,      57,  19.5,     134,  45.9,      93,  31.8,   1.0,   2.1,   9.6,  84.6,   0.0,   0.0,   2.7,  53.4,  46.6,     159,19.8,        296,19.5,100.0,     126,100.0,  15.0 to 1,"     $22,248,427","  $68,965",    323.0,32.0,31.0,96.9,   3.2,  96.8,   0.0,   0.0,"          $57,009,484.00","           3,877.2","              $14,703.78","          $62,080,434.00","           3,996.6","              $15,533.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      62,      59,      76,      60,      62,       0,       0,       0,       0,       0,       0,       0,       0,       0,     319,      47,  14.7,      39,  12.2,      49,  15.4,     138,  43.3,      90,  28.2,   1.6,   3.4,   8.8,  85.3,   0.0,   0.0,   0.9,  49.5,  50.5,     182,18.2,        315,27.5,100.0,     158,100.0,  11.6 to 1,"     $22,248,427","  $68,965",    323.0,38.0,36.0,94.7,   0.0,  97.2,   2.8,   0.0,"          $57,009,484.00","           3,877.2","              $14,703.78","          $62,080,434.00","           3,996.6","              $15,533.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       1,     306,     264,       3,       3,       0,       0,       0,       0,       0,     577,      47,   8.1,      11,   1.9,      88,  15.3,     220,  38.1,     149,  25.8,   2.4,   3.6,   7.8,  82.7,   0.0,   0.0,   3.5,  49.9,  50.1,     348,16.8,        598,46.5,100.0,     295,100.0,  12.4 to 1,"     $22,248,427","  $68,965",    323.0,59.0,58.0,98.3,  12.1,  84.5,   3.4,   0.0,"          $57,009,484.00","           3,877.2","              $14,703.78","          $62,080,434.00","           3,996.6","              $15,533.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      74,      63,      68,      74,      90,       0,       0,       0,       0,       0,       0,       0,       0,       0,     369,      55,  14.9,      51,  13.8,      51,  13.8,     173,  46.9,     121,  32.8,   2.4,   3.0,   7.3,  82.4,   0.0,   0.0,   4.9,  52.8,  47.2,     229,17.7,        385,29.5,100.0,     200,100.0,  12.5 to 1,"     $22,248,427","  $68,965",    323.0,40.0,39.0,97.5,   7.7,  92.3,   0.0,   0.0,"          $57,009,484.00","           3,877.2","              $14,703.78","          $62,080,434.00","           3,996.6","              $15,533.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,       0,      38,      40,      42,      42,      42,      40,      40,       0,       0,       0,       0,       0,       0,       0,     284,      50,  17.6,      26,   9.2,      41,  14.4,     196,  69.0,     156,  54.9,  14.4,   0.7,  42.6,  33.1,   2.5,   0.4,   6.3,  46.8,  53.2,      46,34.2,        281,28.9,51.7,      90,45.6,   9.8 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      30,      78,      79,      78,      73,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,     419,       1,   0.2,       0,   0.0,      79,  18.9,     151,  36.0,      92,  22.0,   5.0,   0.7,   6.0,  84.2,   0.5,   0.0,   3.6,  49.6,  50.4,     171,20.4,        423,27.6,100.0,     150,91.3,  15.2 to 1,"     $12,254,577","  $74,406",    165.0,36.0,35.0,97.2,  48.6,  51.4,   0.0,   0.0,"          $30,802,054.00","           2,208.4","              $13,947.68","          $34,502,597.00","           2,366.4","              $14,580.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     146,     152,     153,     164,       1,     616,      16,   2.6,       5,   0.8,     110,  17.9,     173,  28.1,      86,  14.0,   1.1,   1.0,   4.9,  90.3,   0.0,   0.0,   2.8,  53.6,  46.4,     380,16.7,        621,44.1,100.0,     293,87.7,  14.0 to 1,"     $12,254,577","  $74,406",    165.0,56.0,55.0,98.2,   9.1,  87.3,   3.6,   0.0,"          $30,802,054.00","           2,208.4","              $13,947.68","          $34,502,597.00","           2,366.4","              $14,580.21",       163,93.9,4.3,0.0,0.6,1.2,0.0,     615,5.0,0.8,154.0,103.0,66.9,0.0,32.0,27.2,40.8,25.2,8.7,9.7,154.0,154.0,100.0,     104,     137,72.0,31.0,1.0,0.0,0.0,4.0,22.0,37.0,43.0,31.0,19.0,81.0,115.0,531.0,534.0,53.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       1,       9,      12,       8,       0,      30,       0,   0.0,       0,   0.0,      17,  56.7,      24,  80.0,      19,  63.3,   0.0,   0.0,   6.7,  86.7,   0.0,   0.0,   6.7,  63.3,  36.7,      42,7.6,         33,5.1,100.0,      27,37.0,   5.9 to 1,"     $12,254,577","  $74,406",    165.0,8.0,6.0,75.0,-,-,-,-,"          $30,802,054.00","           2,208.4","              $13,947.68","          $34,502,597.00","           2,366.4","              $14,580.21",         9,66.7,22.2,0.0,0.0,11.1,0.0,      30,4.0,13.3,7.0,,,,,,,,,,7.0,7.0,100.0,,,,,,,,,,,,,,,2.0,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     166,     178,     168,     184,       0,       0,       0,       0,       0,     696,      13,   1.9,       3,   0.4,     125,  18.0,     219,  31.5,     129,  18.5,   0.9,   0.7,   5.0,  89.1,   0.0,   0.0,   4.3,  52.0,  48.0,     410,18.4,        696,54.4,95.9,     302,88.1,  12.8 to 1,"     $12,254,577","  $74,406",    165.0,64.0,26.0,40.6,  15.4,  80.8,   3.8,   0.0,"          $30,802,054.00","           2,208.4","              $13,947.68","          $34,502,597.00","           2,366.4","              $14,580.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
