School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,     102,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     102,      30,29.4,      12,11.8,      37,36.3,      47,46.1,      12,11.8,4.9,32.4,12.7,41.2,0.0,0.0,8.8,53.9,46.1,0.0,      14,9.4,        115,8.0,100.0,  12.8 to 1,87.5,100.0,100.0,"     $34,234,578","  $89,246",    383.6,      10,      10, 100.0,  20.0,  80.0,   0.0,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      54,      60,      65,      64,      48,      46,      72,       0,       0,       0,       0,       0,       0,       0,     409,     143,35.0,      50,12.2,      77,18.8,     164,40.1,      33,8.1,3.2,59.9,8.1,25.4,0.0,0.0,3.4,53.1,46.9,0.0,     137,21.6,        415,29.6,100.0,  13.8 to 1,76.4,96.6,96.7,"     $34,234,578","  $89,246",    383.6,      37,      35,  94.6,  14.3,  85.7,   0.0,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      55,      62,      81,      67,      69,      90,      91,       0,       0,       0,       0,       0,       0,       0,     515,      98,19.0,      39,7.6,      81,15.7,     156,30.3,      51,9.9,3.5,14.0,8.7,66.4,0.6,0.0,6.8,49.7,50.3,0.0,     171,21.4,        513,34.0,100.0,  15.1 to 1,94.1,100.0,97.1,"     $34,234,578","  $89,246",    383.6,      41,      40,  97.6,   5.0,  95.0,   0.0,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      53,      61,      63,      66,      70,      71,      91,       0,       0,       0,       0,       0,       0,       0,     475,      78,16.4,      28,5.9,      74,15.6,     128,26.9,      30,6.3,2.1,20.6,5.9,65.7,0.0,0.2,5.5,52.4,47.6,0.0,     156,21.6,        477,32.0,100.0,  14.8 to 1,78.1,90.6,100.0,"     $34,234,578","  $89,246",    383.6,      38,      37,  97.4,   8.1,  91.9,   0.0,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      36,      42,      42,      65,      70,      71,      45,       0,       0,       0,       0,       0,       0,       0,     371,     116,31.3,      43,11.6,      48,12.9,     127,34.2,      30,8.1,2.7,56.9,5.1,30.7,0.0,0.0,4.6,51.8,48.2,0.0,     123,22.1,        378,27.0,100.0,  13.7 to 1,88.9,100.0,100.0,"     $34,234,578","  $89,246",    383.6,      32,      31,  96.9,   3.2,  93.5,   3.2,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     412,     448,       0,       0,       0,       0,       0,     860,     170,19.8,      19,2.2,     142,16.5,     239,27.8,      64,7.4,2.8,35.0,6.6,50.8,0.5,0.2,4.1,52.4,47.6,0.0,     563,21.1,        871,70.7,100.0,  12.2 to 1,91.2,95.8,97.2,"     $34,234,578","  $89,246",    383.6,      86,      81,  94.2,  17.3,  80.2,   2.5,   0.0,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      46,      89,     127,     109,      85,     111,       0,       0,       0,       0,       0,       0,       0,       0,       0,     567,      11,1.9,       9,1.6,      72,12.7,     202,35.6,     149,26.3,1.4,0.9,4.2,89.1,0.2,0.0,4.2,52.4,47.6,0.0,     277,20.5,        568,40.5,100.0,  14.0 to 1,85.2,95.1,95.3,"      $5,173,481","  $73,383",     70.5,      50,      48,  96.0,-,-,-,-,"          $12,653,923.35","           1,018.8","              $12,420.42","          $17,164,756.77","           1,325.5","              $12,949.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     110,     101,     112,     120,       0,       0,       0,       0,       0,     443,       2,0.5,       0,0.0,      56,12.6,     144,32.5,     111,25.1,0.7,0.9,4.1,91.4,0.0,0.0,2.9,51.9,48.1,0.0,     269,19.8,        448,30.0,100.0,  14.8 to 1,83.3,90.0,96.8,"      $5,173,481","  $73,383",     70.5,      39,      39, 100.0,  15.4,  76.9,   7.7,   0.0,"          $12,653,923.35","           1,018.8","              $12,420.42","          $17,164,756.77","           1,325.5","              $12,949.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     104,     125,     146,     157,     154,     142,     135,       0,     963,     237,24.6,      32,3.3,      61,6.3,     231,24.0,      82,8.5,2.2,16.9,6.7,67.3,0.2,0.0,6.6,52.0,48.0,0.0,     510,18.1,        964,80.0,89.2,  12.0 to 1,80.4,73.2,78.8,"      $5,237,564","  $66,333",     79.0,,,,,,,,"          $15,918,145.99",             964.8,"              $16,498.74","          $15,918,145.99",             964.8,"              $16,498.74",134.0,100.0,0.0,0.0,0.0,0.0,0.0,     588,1.0,0.2,134.0,116.0,86.6,0.0,44.0,5.2,50.9,5.2,3.4,26.7,134.0,134.0,100.0,     271,     532,115.0,76.0,58.0,19.0,3.0,16.0,54.0,129.0,164.0,169.0,13.2,86.8,106.0,625.0,667.0,         276,         265,96.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     160,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     160,       6,3.8,       0,0.0,      70,43.8,      99,61.9,      53,33.1,3.8,9.4,11.3,71.3,0.0,0.0,4.4,58.1,41.9,0.0,      19,10.5,        181,9.0,100.0,  17.8 to 1,88.9,100.0,100.0,"     $25,960,018","  $84,533",    307.1,      14,       0,   0.0,-,-,-,-,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     297,     234,     278,     265,       0,"   1,074",      77,7.2,      17,1.6,     134,12.5,     338,31.5,     244,22.7,1.6,2.4,7.3,86.0,0.1,0.0,2.6,50.1,49.8,0.1,     562,15.0,"      1,059",89.9,100.0,  12.0 to 1,95.4,96.3,90.4,"     $25,960,018","  $84,533",    307.1,     112,       0,   0.0,-,-,-,-,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",275.0,93.1,0.4,2.5,0.0,4.0,0.0,"   1,074",22.0,2.0,260.0,173.0,66.5,0.0,50.9,30.1,19.1,28.3,8.7,5.2,260.0,259.0,99.6,     217,     388,113.0,56.0,33.0,12.0,3.0,31.0,82.0,120.0,91.0,64.0,29.1,70.9,81.0,557.0,560.0,         538,         346,64.3
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     270,     287,       0,       0,       0,       0,       0,     557,      65,11.7,      15,2.7,      81,14.5,     253,45.4,     193,34.6,3.8,2.9,6.8,83.8,0.0,0.0,2.7,52.1,47.9,0.0,     771,10.8,        555,58.1,100.0,   9.6 to 1,93.1,91.4,95.1,"     $25,960,018","  $84,533",    307.1,      71,       0,   0.0,-,-,-,-,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      67,      63,      69,      83,      60,       0,       0,       0,       0,       0,       0,       0,       0,       0,     342,      63,18.4,      28,8.2,      36,10.5,     135,39.5,      98,28.7,0.6,2.9,5.6,88.9,0.0,0.0,2.0,53.5,46.5,0.0,     174,20.2,        346,25.2,100.0,  13.6 to 1,98.0,100.0,100.0,"     $25,960,018","  $84,533",    307.1,      34,       0,   0.0,-,-,-,-,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      58,      41,      38,      70,      49,       0,       0,       0,       0,       0,       0,       0,       0,       0,     256,      36,14.1,      27,10.5,      43,16.8,     125,48.8,      97,37.9,2.3,4.7,14.5,76.6,0.0,0.4,1.6,48.0,52.0,0.0,     119,19.9,        259,21.4,100.0,  12.0 to 1,81.3,100.0,100.0,"     $25,960,018","  $84,533",    307.1,      30,       0,   0.0,-,-,-,-,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      57,      61,      59,      58,      66,       0,       0,       0,       0,       0,       0,       0,       0,       0,     301,      47,15.6,      25,8.3,      56,18.6,     135,44.9,      99,32.9,1.7,4.0,8.6,81.4,0.0,0.0,4.3,52.8,47.2,0.0,     144,20.5,        307,27.6,100.0,  10.9 to 1,96.4,100.0,100.0,"     $25,960,018","  $84,533",    307.1,      36,       0,   0.0,-,-,-,-,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     274,     312,       0,       3,       0,       0,       0,       0,       0,     589,      75,12.7,       8,1.4,     104,17.7,     266,45.2,     182,30.9,2.4,3.6,11.5,78.9,0.0,0.0,3.6,52.8,47.2,0.0,     459,17.2,        599,45.4,100.0,  13.0 to 1,92.2,100.0,98.0,"     $25,960,018","  $84,533",    307.1,      56,       0,   0.0,-,-,-,-,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      81,      85,      68,      77,      80,       0,       0,       0,       0,       0,       0,       0,       0,       0,     391,      58,14.8,      48,12.3,      47,12.0,     188,48.1,     139,35.5,2.6,3.3,10.2,79.8,0.0,0.0,4.1,48.8,51.2,0.0,     212,19.9,        398,30.6,100.0,  12.8 to 1,91.8,100.0,100.0,"     $25,960,018","  $84,533",    307.1,      44,       0,   0.0,-,-,-,-,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,       0,     103,     102,     105,      53,      51,      51,      96,      49,      43,       0,       0,       0,       0,       0,     653,     303,46.4,     202,30.9,     115,17.6,     508,77.8,     387,59.3,13.9,0.2,60.2,21.9,0.8,0.0,3.1,46.9,53.1,0.0,     225,24.2,        641,52.0,57.7,  12.6 to 1,25.0,86.5,25.0,"      $3,313,105","  $63,714",     52.0,,,,,,,,"          $10,667,660.00",             639.9,"              $16,671.61","          $10,667,660.00",             639.9,"              $16,671.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      33,      63,      51,      71,      62,      66,       0,       0,       0,       0,       0,       0,       0,       0,       0,     346,       0,0.0,       0,0.0,      80,23.1,     123,35.5,      67,19.4,1.4,0.3,5.2,89.0,0.3,0.0,3.8,54.6,45.4,0.0,     141,19.8,        353,27.9,96.4,  12.4 to 1,85.6,100.0,96.6,"     $13,587,070","  $81,751",    166.2,      32,       0,   0.0,-,-,-,-,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     118,     124,     139,     142,       6,     529,      18,3.4,       6,1.1,      71,13.4,     124,23.4,      77,14.6,1.5,1.3,5.9,87.5,0.0,0.0,3.8,50.9,49.1,0.0,     339,14.7,        541,44.6,100.0,  11.9 to 1,86.5,93.3,91.5,"     $13,587,070","  $81,751",    166.2,      57,       0,   0.0,-,-,-,-,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",143.0,93.7,4.9,0.0,0.0,1.4,0.0,     523,3.0,0.6,137.0,99.0,72.3,0.0,34.3,22.2,43.4,20.2,4.0,14.1,137.0,137.0,100.0,     100,     142,58.0,42.0,0.0,0.0,0.0,6.0,25.0,49.0,49.0,13.0,21.8,78.2,80.0,572.0,574.0,         282,         202,71.6
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       8,      13,      13,      19,       0,      53,       0,0.0,       0,0.0,      28,52.8,      38,71.7,      26,49.1,3.8,0.0,7.5,81.1,0.0,0.0,7.5,56.6,41.5,1.9,      52,9.2,         54,4.3,100.0,  12.3 to 1,76.8,53.5,57.1,"     $13,587,070","  $81,751",    166.2,       7,       0,   0.0,-,-,-,-,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",19.0,52.6,31.6,0.0,0.0,15.8,0.0,      53,1.0,1.9,13.0,,,,,,,,,,13.0,13.0,100.0,,,,,,,,,,,,,,,,,,          30,           0,0.0
