School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     473,     480,       0,       0,       0,       0,0.0,     953,     153,  16.1,       7,   0.7,     127,  13.3,      32,   3.4, , , , ,   0.6,  21.9,   2.8,  72.3,   0.2,   0.0,   2.1,  50.3,  49.7,     341,23.0,        953,62.9,100.0,     302,100.0,15.2,"     $13,149,927","  $72,411",    181.6,"          $35,426,148.00","           2,940.2","              $12,048.89","          $39,865,768.00","           3,024.3","              $13,181.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      26,     106,      70,     108,     107,     107,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     524,      11,   2.1,       2,   0.4,     102,  19.5,     115,  21.9, , , , ,   0.0,   0.2,   0.6,  99.2,   0.0,   0.0,   0.0,  51.0,  49.0,      29,18.8,        543,40.0,100.0,     131,100.0,13.1,"      $4,171,870","  $57,227",     72.9,"          $10,541,736.71","           1,006.4","              $10,474.70","          $14,714,306.78","           1,284.6","              $11,454.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     106,     126,     136,     115,       0,       0,       0,       0,0.0,     483,       6,   1.2,       0,   0.0,      70,  14.5,     109,  22.6, , , , ,   0.6,   0.2,   0.4,  98.8,   0.0,   0.0,   0.0,  53.2,  46.8,     246,18.7,        483,32.9,100.0,     189,100.0,14.7,"      $4,171,870","  $57,227",     72.9,"          $10,541,736.71","           1,006.4","              $10,474.70","          $14,714,306.78","           1,284.6","              $11,454.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     180,     266,     203,     114,      76,      62,      62,0.0,     963,     182,  18.9,      22,   2.3,      42,   4.4,      54,   5.6, , , , ,   2.2,  26.1,   5.1,  64.5,   0.5,   0.0,   1.7,  53.6,  46.4,     424,22.2,        956,70.4,65.8,     386,100.0,13.7,,,,,,,,,,        67,92.5,1.5,0.0,0.0,6.0,0.0,     314,1.0,0.3,62.0,49.0,79.0,0.0,46.768,3.239,28.993000000000002,3.239,11.297,12.877,75.761,62.0,62.0,100.0,128.0,     255,49.0,41.0,33.0,2.0,3.0,20.0,29.0,54.0,65.0,87.0,19.2,80.8,58.0,585.0,623.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     124,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     124,       9,   7.3,       0,   0.0,      52,  41.9,      21,  16.9, , , , ,   4.8,   2.4,   4.0,  84.7,   0.0,   0.0,   4.0,  55.6,  44.4,      12,10.3,        124,6.6,100.0,      20,100.0,18.9,"     $18,947,816","  $60,750",    311.9,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     379,     347,     308,     303,0.0,"   1,337",      15,   1.1,      14,   1.0,     146,  10.9,     277,  20.7, , , , ,   1.4,   1.0,   1.8,  95.2,   0.0,   0.0,   0.5,  49.9,  50.1,     549,17.0,"      1,321",98.2,99.5,     427,100.0,13.6,"     $18,947,816","  $60,750",    311.9,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",       311,92.0,1.3,0.3,2.6,3.5,0.3,"   1,337",26.0,1.9,291.0,236.0,81.1,0.0,27.492899999999995,33.3321,20.275,31.9534,10.624099999999999,5.1903999999999995,47.7679,291.0,167.0,57.4,213.0,     406,96.0,73.0,28.0,9.0,7.0,91.0,92.0,101.0,79.0,43.0,45.1,54.9,220.0,491.0,510.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     355,     340,       0,       0,       0,       0,0.0,     695,       4,   0.6,       4,   0.6,      92,  13.2,     195,  28.1, , , , ,   2.0,   1.7,   4.3,  90.4,   0.4,   0.4,   0.7,  53.5,  46.5,     447,15.6,        693,58.2,99.1,     364,100.0,11.9,"     $18,947,816","  $60,750",    311.9,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      77,      62,      72,      79,      76,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     366,      21,   5.7,      20,   5.5,      33,   9.0,      84,  23.0, , , , ,   1.4,   4.6,   3.6,  88.3,   0.0,   0.0,   2.2,  50.5,  49.5,     220,19.1,        363,26.4,100.0,     206,100.0,13.9,"     $18,947,816","  $60,750",    311.9,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      49,      54,      70,      66,      68,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     307,       9,   2.9,       9,   2.9,      49,  16.0,      87,  28.3, , , , ,   1.0,   1.3,   8.5,  86.6,   0.0,   0.0,   2.6,  47.2,  52.8,     174,20.8,        310,22.9,100.0,     156,100.0,13.4,"     $18,947,816","  $60,750",    311.9,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      83,      69,      71,      69,      81,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     373,      30,   8.0,      28,   7.5,      65,  17.4,     102,  27.3, , , , ,   0.8,   2.4,   6.2,  88.7,   0.0,   0.0,   1.9,  52.0,  48.0,     205,20.4,        365,27.1,100.0,     211,100.0,13.8,"     $18,947,816","  $60,750",    311.9,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     293,     349,       5,       2,       0,       0,       0,       0,0.0,     649,      19,   2.9,      19,   2.9,     100,  15.4,     185,  28.5, , , , ,   0.9,   2.0,   4.0,  92.0,   0.2,   0.0,   0.9,  51.2,  48.8,     326,17.9,        647,46.4,100.0,     302,100.0,14.0,"     $18,947,816","  $60,750",    311.9,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      75,      68,      78,      69,      89,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     379,      31,   8.2,      31,   8.2,      56,  14.8,     123,  32.5, , , , ,   1.1,   2.1,   4.2,  92.3,   0.0,   0.0,   0.3,  50.4,  49.6,     224,19.5,        377,26.3,100.0,     213,100.0,14.4,"     $18,947,816","  $60,750",    311.9,"          $49,297,423.95","           4,237.1","              $11,634.71","          $54,426,698.05","           4,378.8","              $12,429.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      52,      82,      72,      78,      81,      77,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     442,       0,   0.0,       0,   0.0,      88,  19.9,      84,  19.0, , , , ,   1.1,   0.5,   2.9,  92.3,   0.0,   0.0,   3.2,  54.5,  45.5,     184,19.3,        441,29.0,100.0,     149,100.0,15.3,"     $11,493,776","  $70,341",    163.4,"          $28,762,541.95","           2,364.2","              $12,165.87","          $32,871,040.95","           2,535.2","              $12,965.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     154,     158,     161,     167,4.0,     644,      11,   1.7,       1,   0.2,      92,  14.3,     133,  20.7, , , , ,   1.6,   1.1,   1.7,  93.2,   0.2,   0.2,   2.2,  52.5,  47.5,     150,17.7,        642,47.0,95.7,     294,90.5,13.7,"     $11,493,776","  $70,341",    163.4,"          $28,762,541.95","           2,364.2","              $12,165.87","          $32,871,040.95","           2,535.2","              $12,965.86",       165,83.6,4.8,1.8,4.2,5.5,0.0,     640,10.0,1.6,142.0,115.0,81.0,0.0,21.141,23.976,35.882999999999996,22.518,7.776,17.577,57.023999999999994,142.0,142.0,100.0,78.0,      96,62.0,14.0,2.0,0.0,0.0,1.0,26.0,28.0,26.0,15.0,28.1,71.9,114.0,516.0,525.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,493,776","  $70,341",    163.4,"          $28,762,541.95","           2,364.2","              $12,165.87","          $32,871,040.95","           2,535.2","              $12,965.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     169,     204,     205,     173,       0,       0,       0,       0,0.0,     751,       8,   1.1,       1,   0.1,     111,  14.8,     202,  26.9, , , , ,   0.0,   0.7,   4.8,  92.0,   0.1,   0.0,   2.4,  53.7,  46.3,     333,16.7,        752,54.9,100.0,     211,99.1,13.7,"     $11,493,776","  $70,341",    163.4,"          $28,762,541.95","           2,364.2","              $12,165.87","          $32,871,040.95","           2,535.2","              $12,965.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      24,      96,     111,     100,     113,     104,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     548,      25,   4.6,       7,   1.3,      96,  17.5,     127,  23.2, , , , ,   0.5,   0.4,   4.2,  93.2,   0.0,   0.0,   1.6,  52.6,  47.4,     209,22.7,        548,32.5,100.0,     163,96.9,16.8,"     $11,493,776","  $70,341",    163.4,"          $28,762,541.95","           2,364.2","              $12,165.87","          $32,871,040.95","           2,535.2","              $12,965.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      56,      40,      44,      52,      36,      48,      46,      49,       0,       0,       0,       0,       0,       0,0.0,     371,      65,  17.5,      53,  14.3,      70,  18.9,     134,  36.1, , , , ,   9.4,  12.9,  19.4,  51.8,   0.5,   0.8,   5.1,  51.2,  48.8,     105,17.7,        371,36.9,100.0,     159,100.0,10.0,"      $8,257,363","  $66,484",    124.2,"          $22,313,288.00","           1,284.2","              $17,375.24","          $23,236,656.00","           1,357.6","              $17,115.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      40,      54,      55,      54,      63,      69,      65,       0,       0,       0,       0,       0,       0,0.0,     400,      70,  17.5,      55,  13.8,      83,  20.8,     148,  37.0, , , , ,   8.3,  12.0,  20.5,  49.0,   0.0,   0.5,   9.8,  50.3,  49.8,     121,19.1,        404,39.8,97.5,     176,96.0,10.1,"      $8,257,363","  $66,484",    124.2,"          $22,313,288.00","           1,284.2","              $17,375.24","          $23,236,656.00","           1,357.6","              $17,115.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      50,      67,      68,      77,      79,      60,      70,       0,       0,       0,       0,       0,       0,0.0,     471,      85,  18.0,      73,  15.5,      94,  20.0,     173,  36.7, , , , ,   7.4,  13.2,  15.5,  55.6,   0.0,   0.0,   8.3,  51.6,  48.4,     140,18.9,        476,47.5,100.0,     202,99.5,9.9,"      $8,257,363","  $66,484",    124.2,"          $22,313,288.00","           1,284.2","              $17,375.24","          $23,236,656.00","           1,357.6","              $17,115.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst-Pelham: Amherst Regional High,06050505,Public School,Amherst,MA,01002,"09,10,11,12",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     264,     280,     274,     285,0.0,"   1,103",     152,  13.8,      29,   2.6,     200,  18.1,     265,  24.0, , , , ,   7.7,   9.1,  11.7,  64.6,   0.2,   0.1,   6.6,  49.7,  50.3,     389,13.2,"      1,103",84.5,99.3,     920,88.0,13.0,"      $9,935,681","  $75,213",    132.1,"          $27,997,451.00","           1,572.9","              $17,799.89","          $30,654,356.00","           1,711.0","              $17,916.05",       288,91.0,5.2,0.7,0.7,2.4,0.0,"   1,103",20.0,1.8,268.0,228.0,85.1,0.3404,44.422200000000004,15.658399999999997,24.593899999999998,15.658399999999997,2.9784999999999995,13.7862,69.0161,268.0,0.0,0.0,149.0,     224,87.0,50.0,11.0,1.0,0.0,7.0,19.0,57.0,64.0,77.0,11.6,88.4,227.0,588.0,590.0
