School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     128,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     128,       0,   0.0,       0,   0.0,      51,  39.8, , , , ,   0.0,   0.8,   3.1,  94.5,   0.0,   0.0,   1.6,  63.3,  36.7,7.0,100.0,35.0,100.0,  18.3 to 1,"     $19,308,699","  $62,066",    311.1,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     371,     335,     302,     304,0.0,"   1,312",      10,   0.8,       9,   0.7,     147,  11.2, , , , ,   0.9,   0.6,   0.8,  97.1,   0.0,   0.0,   0.5,  49.6,  50.4,96.3,98.4,390.0,98.7,  13.6 to 1,"     $19,308,699","  $62,066",    311.1,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",       311,89.1,1.9,0.3,2.6,6.1,0.0,"   1,312",13.0,1.0,,,,,,,,,,,282.0,196.0,69.5,91.0,     157,45.0,29.0,14.0,3.0,0.0,11.0,19.0,59.0,39.0,29.0,19.1,80.9,196.0,500.0,518.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     357,     367,       0,       0,       0,       0,0.0,     724,       4,   0.6,       4,   0.6,     100,  13.8, , , , ,   1.7,   1.7,   3.5,  91.6,   0.4,   0.4,   0.8,  54.4,  45.6,59.7,97.5,346.0,99.7,  12.1 to 1,"     $19,308,699","  $62,066",    311.1,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      61,      77,      77,      79,      80,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     374,      14,   3.7,      14,   3.7,      35,   9.4, , , , ,   1.1,   2.7,   1.9,  92.8,   0.0,   0.0,   1.6,  50.5,  49.5,24.9,100.0,189.0,100.0,  15.0 to 1,"     $19,308,699","  $62,066",    311.1,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      53,      72,      61,      64,      56,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     306,       8,   2.6,       8,   2.6,      51,  16.7, , , , ,   1.0,   2.3,   4.9,  89.2,   0.0,   0.0,   2.6,  49.0,  51.0,22.0,100.0,167.0,100.0,  13.9 to 1,"     $19,308,699","  $62,066",    311.1,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      64,      70,      67,      81,      82,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     364,      30,   8.2,      28,   7.7,      59,  16.2, , , , ,   0.8,   0.5,   6.6,  90.1,   0.0,   0.0,   1.9,  50.5,  49.5,27.1,100.0,228.0,100.0,  13.4 to 1,"     $19,308,699","  $62,066",    311.1,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     344,     352,       0,       0,       0,       0,       0,       0,0.0,     696,      18,   2.6,      16,   2.3,     115,  16.5, , , , ,   1.0,   1.6,   4.3,  92.1,   0.3,   0.1,   0.6,  51.6,  48.4,46.6,100.0,258.0,100.0,  14.9 to 1,"     $19,308,699","  $62,066",    311.1,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      58,      83,      68,      87,      73,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     369,      18,   4.9,      18,   4.9,      47,  12.7, , , , ,   1.4,   1.4,   1.4,  95.9,   0.0,   0.0,   0.0,  48.5,  51.5,27.4,100.0,208.0,100.0,  13.5 to 1,"     $19,308,699","  $62,066",    311.1,"          $49,295,398.00","           4,017.2","              $12,271.08","          $53,936,964.00","           4,178.2","              $12,909.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      51,      72,      74,      82,      78,      76,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     433,       2,   0.5,       0,   0.0,      69,  15.9, , , , ,   0.9,   0.7,   4.6,  90.8,   0.0,   0.0,   3.0,  55.0,  45.0,28.5,96.5,89.0,94.4,  15.2 to 1,"     $10,933,177","  $65,040",    168.1,"          $27,955,649.92","           2,398.4","              $11,655.96","          $31,838,607.56","           2,571.0","              $12,383.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     171,     158,     178,     161,6.0,     674,      13,   1.9,       1,   0.1,      97,  14.4, , , , ,   1.5,   1.0,   2.5,  92.6,   0.3,   0.3,   1.8,  52.4,  47.6,51.2,96.1,113.0,92.9,  13.2 to 1,"     $10,933,177","  $65,040",    168.1,"          $27,955,649.92","           2,398.4","              $11,655.96","          $31,838,607.56","           2,571.0","              $12,383.74",       171,84.8,7.0,0.6,1.2,6.4,0.0,     668,12.0,1.8,,,,,,,,,,,149.0,149.0,100.0,74.0,      92,56.0,18.0,0.0,0.0,0.0,5.0,24.0,30.0,16.0,17.0,31.5,68.5,103.0,527.0,536.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,933,177","  $65,040",    168.1,"          $27,955,649.92","           2,398.4","              $11,655.96","          $31,838,607.56","           2,571.0","              $12,383.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     200,     194,     176,     193,       0,       0,       0,       0,0.0,     763,      11,   1.4,       3,   0.4,     108,  14.2, , , , ,   0.4,   0.7,   4.1,  92.4,   0.1,   0.0,   2.4,  52.7,  47.3,56.7,100.0,253.0,94.5,  13.5 to 1,"     $10,933,177","  $65,040",    168.1,"          $27,955,649.92","           2,398.4","              $11,655.96","          $31,838,607.56","           2,571.0","              $12,383.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      29,     107,     107,     114,     103,      94,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     554,      23,   4.2,      17,   3.1,      78,  14.1, , , , ,   0.4,   0.5,   4.7,  93.3,   0.0,   0.0,   1.1,  52.5,  47.5,31.8,100.0,100.0,100.0,  17.4 to 1,"     $10,933,177","  $65,040",    168.1,"          $27,955,649.92","           2,398.4","              $11,655.96","          $31,838,607.56","           2,571.0","              $12,383.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      63,      53,      52,      33,      34,      37,      40,      29,       0,       0,       0,       0,       0,       0,0.0,     341,      66,  19.4,      51,  15.0,      89,  26.1, , , , ,   8.5,   8.5,  30.5,  46.9,   0.9,   0.9,   3.8,  52.2,  47.8,34.5,100.0,100.0,100.0,   9.9 to 1,"      $8,368,047","  $66,151",    126.5,"          $22,118,411.00","           1,331.1","              $16,616.64","          $23,031,388.00","           1,403.2","              $16,413.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      51,      57,      54,      64,      64,      73,      71,       0,       0,       0,       0,       0,       0,0.0,     434,      83,  19.1,      62,  14.3,      74,  17.1, , , , ,   8.3,  15.7,  14.3,  52.3,   0.0,   0.5,   9.0,  51.6,  48.4,37.7,100.0,129.0,100.0,  11.5 to 1,"      $8,368,047","  $66,151",    126.5,"          $22,118,411.00","           1,331.1","              $16,616.64","          $23,031,388.00","           1,403.2","              $16,413.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      43,      46,      59,      58,      55,      58,      49,       0,       0,       0,       0,       0,       0,0.0,     368,      52,  14.1,      30,   8.2,      60,  16.3, , , , ,   4.6,  11.7,  11.4,  60.9,   0.0,   0.0,  11.4,  50.8,  49.2,37.5,100.0,126.0,100.0,   9.8 to 1,"      $8,368,047","  $66,151",    126.5,"          $22,118,411.00","           1,331.1","              $16,616.64","          $23,031,388.00","           1,403.2","              $16,413.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst-Pelham: Amherst Regional High,06050505,Public School,Amherst,MA,01002,"09,10,11,12",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     294,     287,     295,     292,0.0,"   1,168",     151,  12.9,      41,   3.5,     212,  18.2, , , , ,   7.9,   9.1,  11.0,  66.8,   0.3,   0.1,   4.9,  49.1,  50.9,86.6,96.5,312.0,85.9,  13.5 to 1,"      $9,231,591","  $68,995",    133.8,"          $27,470,752.00","           1,659.0","              $16,558.62","          $30,656,624.00","           1,788.2","              $17,143.85",       306,90.8,3.6,0.3,2.3,2.9,0.0,"   1,168",17.0,1.5,,,,,,,,,,,285.0,285.0,100.0,111.0,     170,69.0,27.0,13.0,2.0,0.0,2.0,11.0,35.0,49.0,73.0,7.6,92.4,209.0,593.0,596.0
Amherst-Pelham: Amherst Regional Middle School,06050405,Public School,Amherst,MA,01002,"07,08",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     248,     245,       0,       0,       0,       0,0.0,     493,      65,  13.2,      26,   5.3,     104,  21.1, , , , ,   5.7,   8.5,  15.6,  59.8,   0.0,   0.0,  10.3,  51.1,  48.9,47.1,100.0,156.0,98.1,  10.5 to 1,"      $9,231,591","  $68,995",    133.8,"          $27,470,752.00","           1,659.0","              $16,558.62","          $30,656,624.00","           1,788.2","              $17,143.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Andover High,00090505,Public School,Andover,MA,01810,"09,10,11,12",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     490,     441,     442,     426,0.0,"   1,799",     144,   8.0,       8,   0.4,     243,  13.5, , , , ,   2.0,  10.1,   3.4,  82.6,   0.1,   0.0,   1.9,  50.9,  49.1,124.3,98.4,379.0,100.0,  14.5 to 1,"     $33,330,496","  $76,657",    434.8,"          $76,167,674.89","           6,223.1","              $12,239.51","          $84,025,574.89","           6,335.3","              $13,263.08",       437,96.8,0.9,0.0,1.1,1.1,0.0,"   1,799",6.0,0.3,,,,,,,,,,,425.0,425.0,100.0,391.0,     733,175.0,130.0,61.0,14.0,11.0,57.0,92.0,182.0,180.0,222.0,20.3,79.7,388.0,561.0,584.0
Andover: Andover West Middle,00090310,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,     172,     178,     179,       0,       0,       0,       0,0.0,     529,      49,   9.3,       6,   1.1,      81,  15.3, , , , ,   0.9,  11.2,   2.6,  81.9,   0.6,   0.0,   2.8,  51.2,  48.8,42.2,97.6,141.0,97.2,  12.5 to 1,"     $33,330,496","  $76,657",    434.8,"          $76,167,674.89","           6,223.1","              $12,239.51","          $84,025,574.89","           6,335.3","              $13,263.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
