School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,      73,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      73,      19,  26.0,      14,  19.2,      34,  46.6, , ,      42,  57.5,      10,  13.7,6.8,35.6,6.8,45.2,0.0,0.0,5.5,60.3,39.7,0.0,      12,7.3,         79,8.0,100.0,9.1,100.0,100.0,100.0,"     $36,991,103","  $91,268",    405.3,      11,      11, 100.0,-,-,-,-,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      34,      57,      66,      67,      73,      47,      50,       0,       0,       0,       0,       0,       0,       0,     394,     159,  40.4,      53,  13.5,      57,  14.5, , ,     154,  39.1,      24,   6.1,3.6,61.4,7.9,23.4,0.0,0.0,3.8,54.3,45.7,0.0,     107,17.0,        255,21.5,100.0,18.3,65.1,100.0,100.0,"     $36,991,103","  $91,268",    405.3,      28,      27,  96.4,  18.5,  81.5,   0.0,   0.0,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         182,78.0,          57,25.0,         125,54.0,          43,19.0,           7,3.0,         232,99.0,515.0,57.0,          88,         175,75.0,          47,20.0,         128,55.0,          44,19.0,          13,6.0,         232,99.0,513.0,60.0,          88
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      51,      55,      69,      82,      70,      71,      85,       0,       0,       0,       0,       0,       0,       0,     483,      97,  20.1,      36,   7.5,      69,  14.3, , ,     142,  29.4,      53,  11.0,3.7,16.1,9.1,63.6,0.4,0.0,7.0,49.7,50.3,0.0,     149,18.7,        394,30.0,100.0,16.1,80.0,100.0,100.0,"     $36,991,103","  $91,268",    405.3,      38,      35,  92.1,   5.7,  91.4,   2.9,   0.0,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         181,61.0,          38,13.0,         143,48.0,          97,33.0,          18,6.0,         296,96.0,505.0,43.0,         139,         141,48.0,          14,5.0,         127,43.0,         124,42.0,          30,10.0,         295,96.0,497.0,43.0,         138
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      47,      58,      58,      59,      70,      71,      70,       0,       0,       0,       0,       0,       0,       0,     433,      61,  14.1,      20,   4.6,      59,  13.6, , ,     110,  25.4,      30,   6.9,2.5,15.9,6.7,67.2,0.0,0.0,7.6,50.6,49.4,0.0,     140,17.7,        353,28.0,100.0,15.5,78.6,92.9,100.0,"     $36,991,103","  $91,268",    405.3,      34,      33,  97.1,   9.1,  90.9,   0.0,   0.0,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         165,63.0,          42,16.0,         123,47.0,          86,33.0,           9,3.0,         260,97.0,507.0,39.0,         132,         130,50.0,          22,8.0,         108,41.0,         110,42.0,          21,8.0,         261,97.0,500.0,44.0,         131
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      34,      40,      46,      42,      69,      71,      75,       0,       0,       0,       0,       0,       0,       0,     377,     130,  34.5,      42,  11.1,      35,   9.3, , ,     132,  35.0,      38,  10.1,3.2,59.7,4.8,28.6,0.0,0.0,3.7,52.8,47.2,0.0,      86,19.0,        231,17.3,100.0,21.8,76.9,100.0,100.0,"     $36,991,103","  $91,268",    405.3,      23,      23, 100.0,-,-,-,-,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         188,79.0,          57,24.0,         131,55.0,          47,20.0,           4,2.0,         239,98.0,516.0,47.0,         127,         171,72.0,          49,21.0,         122,51.0,          59,25.0,           9,4.0,         239,98.0,512.0,46.0,         127
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     410,     421,       0,       0,       0,       0,       0,     831,     177,  21.3,      18,   2.2,     147,  17.7, , ,     242,  29.1,      71,   8.5,3.4,35.9,6.4,50.1,0.4,0.4,3.6,49.9,49.9,0.1,     584,16.7,        840,72.6,100.0,11.4,87.4,94.5,97.3,"     $36,991,103","  $91,268",    405.3,      87,      84,  96.6,  17.9,  78.6,   3.6,   0.0,"          $91,293,991.80","           5,218.9","              $17,492.96","         $101,326,511.27","           5,344.9","              $18,957.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         561,70.0,         110,14.0,         451,56.0,         210,26.0,          36,4.0,         807,98.0,510.0,42.0,         764,         627,78.0,         189,23.0,         438,54.0,         156,19.0,          22,3.0,         805,98.0,516.0,60.0,         762
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      28,      86,      83,     117,      95,      80,       0,       0,       0,       0,       0,       0,       0,       0,       0,     489,       7,   1.4,       5,   1.0,      65,  13.3, , ,     195,  39.9,     148,  30.3,1.4,0.8,4.9,88.5,0.2,0.0,4.1,54.0,46.0,0.0,     251,14.1,        494,40.0,100.0,12.2,88.7,97.5,95.1,"      $5,221,793","  $76,566",     68.2,      46,      45,  97.8,   6.7,  84.4,   8.9,   0.0,"          $13,894,379.55",             922.5,"              $15,061.66","          $18,413,333.92","           1,235.1","              $14,908.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         110,65.0,          22,13.0,          88,52.0,          53,32.0,           5,3.0,         168,99.0,508.0,,,          93,55.0,          17,10.0,          76,45.0,          59,35.0,          16,10.0,         168,99.0,503.0,,
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     108,     104,     100,     109,       0,       0,       0,       0,       0,     421,       3,   0.7,       1,   0.2,      49,  11.6, , ,     143,  34.0,     110,  26.1,0.2,1.0,3.8,90.7,0.2,0.0,4.0,52.3,47.7,0.0,     149,17.0,        419,28.3,100.0,14.9,92.0,92.0,96.7,"      $5,221,793","  $76,566",     68.2,      36,      36, 100.0,  13.9,  80.6,   2.8,   2.8,"          $13,894,379.55",             922.5,"              $15,061.66","          $18,413,333.92","           1,235.1","              $14,908.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         187,47.0,          33,8.0,         154,38.0,         160,40.0,          55,14.0,         402,98.0,498.0,35.0,         371,         150,37.0,          10,2.0,         140,35.0,         202,50.0,          49,12.0,         401,98.0,494.0,32.0,         374
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     127,     125,     125,     146,     155,     147,     141,       0,     966,     238,  24.6,      13,   1.3,      56,   5.8, , ,     234,  24.2,     100,  10.4,1.9,17.3,7.0,67.8,0.0,0.0,6.0,52.4,47.5,0.1,     490,18.6,        960,79.4,92.2,12.2,84.8,77.1,78.8,"      $5,323,822","  $72,386",     73.6,,,,,,,,"          $16,072,974.33",             963.9,"              $16,675.46","          $16,072,974.33",             963.9,"              $16,675.46",141.0,98.6,1.4,0.0,0.0,0.0,0.0,     589,0.0,0.0,139.0,127.0,91.4,0.0,43.2,2.9,45.3,2.9,5.0,18.0,88.5,139.0,139.0,100.0,     247,     504,99.0,62.0,63.0,23.0,0.0,29.0,74.0,142.0,127.0,132.0,20.4,79.6,164.0,629.0,657.0,         288,         272,94.4,         232,65.0,          46,13.0,         186,52.0,         114,32.0,          12,3.0,         358,96.0,509.0,41.0,         311,         183,51.0,          53,15.0,         130,36.0,         150,41.0,          29,8.0,         362,97.0,503.0,33.0,         316
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     106,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     106,       3,   2.8,       2,   1.9,      60,  56.6, , ,      77,  72.6,      43,  40.6,2.8,6.6,15.1,72.6,0.0,0.0,2.8,55.7,44.3,0.0,      16,8.3,        118,8.0,100.0,13.3,87.5,100.0,100.0,"     $26,272,816","  $85,887",    305.9,      14,      12,  85.7,  25.0,  75.0,   0.0,   0.0,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     281,     281,     217,     271,       0,"   1,050",      81,   7.7,      16,   1.5,     136,  13.0, , ,     391,  37.2,     303,  28.9,1.9,2.8,8.5,83.9,0.1,0.0,2.9,51.1,48.8,0.1,     664,13.9,"      1,037",88.0,100.0,11.9,96.6,97.4,92.6,"     $26,272,816","  $85,887",    305.9,     113,      30,  26.5,-,-,-,-,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",279.0,92.5,0.7,0.4,0.0,6.5,0.0,"   1,050",20.0,1.9,256.0,169.0,66.0,0.0,23.0,15.6,27.3,13.7,14.5,5.1,50.3,256.0,207.0,80.9,     129,     209,72.0,42.0,9.0,5.0,1.0,27.0,65.0,55.0,39.0,23.0,44.0,56.0,64.0,578.0,564.0,         479,         292,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     307,     275,       0,       0,       0,       0,       0,     582,      78,  13.4,      16,   2.7,      92,  15.8, , ,     282,  48.5,     213,  36.6,2.9,2.7,10.1,80.8,0.0,0.0,3.4,48.6,51.4,0.0,     650,12.3,        584,55.3,100.0,10.5,92.8,89.2,95.0,"     $26,272,816","  $85,887",    305.9,      70,      67,  95.7,-,-,-,-,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         117,31.0,          10,3.0,         107,29.0,         187,50.0,          69,18.0,         373,68.0,490.0,29.0,         356,         130,35.0,          11,3.0,         119,32.0,         182,49.0,          61,16.0,         373,68.0,491.0,26.0,         358
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      63,      70,      65,      70,      82,       0,       0,       0,       0,       0,       0,       0,       0,       0,     350,      67,  19.1,      34,   9.7,      41,  11.7, , ,     165,  47.1,     132,  37.7,0.6,2.6,6.6,86.6,0.0,0.0,3.7,52.0,48.0,0.0,     256,14.0,        348,27.2,100.0,12.9,87.1,100.0,100.0,"     $26,272,816","  $85,887",    305.9,      43,      38,  88.4,  63.2,  36.8,   0.0,   0.0,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          74,54.0,           9,7.0,          65,47.0,          56,41.0,           7,5.0,         137,94.0,500.0,,,          45,33.0,           7,5.0,          38,28.0,          69,50.0,          23,17.0,         137,94.0,490.0,,
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      44,      57,      41,      40,      65,       0,       0,       0,       0,       0,       0,       0,       0,       0,     247,      32,  13.0,      22,   8.9,      50,  20.2, , ,     123,  49.8,      99,  40.1,2.0,5.7,14.2,76.9,0.0,0.4,0.8,48.2,51.8,0.0,     184,13.4,        251,21.8,100.0,11.3,86.3,100.0,100.0,"     $26,272,816","  $85,887",    305.9,      35,      32,  91.4,  12.5,  87.5,   0.0,   0.0,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          47,52.0,           5,6.0,          42,47.0,          35,39.0,           8,9.0,          90,92.0,498.0,,,          30,33.0,           2,2.0,          28,30.0,          45,49.0,          17,18.0,          92,93.0,489.0,,
