School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Overall Improvement Toward Improvement Targets (%)
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,     111,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     111,      20,18.0,       0,0.0,      45,40.5,      48,43.2,      11,9.9,7.2,43.2,5.4,39.6,0.0,0.0,4.5,57.7,42.3,      11,12.3,        123,7.0,100.0,  15.9 to 1,100.0,100.0,"     $31,536,769","  $84,822",    372.0,9.0,9.0,100.0,  22.2,  77.8,   0.0,   0.0,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      60,      56,      45,      47,      73,      93,      68,       0,       0,       0,       0,       0,       0,       0,     442,     134,30.3,      57,12.9,      63,14.3,     147,33.3,      29,6.6,2.9,62.7,6.1,24.4,0.0,0.2,3.6,50.5,49.5,     144,22.2,        448,29.2,100.0,  15.1 to 1,85.6,100.0,"     $31,536,769","  $84,822",    372.0,37.0,36.0,97.3,  11.1,  88.9,   0.0,   0.0,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         224,80.0,          89,32.0,         135,48.0,          54,19.0,           3,1.0,         281,520.0,67.3,         219,98.0,         222,79.0,          88,31.0,         134,48.0,          49,17.0,          10,4.0,         281,517.6,62.0,         220,98.0,Not requiring assistance or intervention,Meeting targets,97.0,91.0
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      75,      64,      65,      70,      73,      70,      70,       0,       0,       0,       0,       0,       0,       0,     487,      84,17.2,      35,7.2,      77,15.8,     140,28.7,      37,7.6,3.5,10.5,9.7,70.6,0.6,0.0,5.1,52.0,48.0,     156,22.3,        493,30.2,100.0,  16.1 to 1,78.1,100.0,"     $31,536,769","  $84,822",    372.0,37.0,35.0,94.6,  14.3,  85.7,   0.0,   0.0,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         181,65.0,          39,14.0,         142,51.0,          88,32.0,           8,3.0,         277,509.9,60.2,         196,81.0,         138,50.0,          18,7.0,         120,44.0,         118,43.0,          19,7.0,         275,500.9,49.4,         195,57.0,Not requiring assistance or intervention,Partially meeting targets,65.0,61.0
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      60,      63,      64,      72,      96,      72,      71,       0,       0,       0,       0,       0,       0,       0,     498,      66,13.3,      33,6.6,      72,14.5,     125,25.1,      33,6.6,2.2,19.7,6.2,68.5,0.0,0.2,3.2,52.4,47.6,     156,22.6,        499,31.6,100.0,  15.8 to 1,85.4,93.7,"     $31,536,769","  $84,822",    372.0,37.0,35.0,94.6,   8.6,  91.4,   0.0,   0.0,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         215,71.0,          52,17.0,         163,54.0,          80,27.0,           6,2.0,         301,511.4,64.1,         208,86.0,         196,65.0,          37,12.0,         159,53.0,          91,30.0,          13,4.0,         300,507.1,59.1,         211,80.0,Not requiring assistance or intervention,Meeting targets,82.0,77.0
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      41,      57,      65,      73,      50,      47,      69,       0,       0,       0,       0,       0,       0,       0,     402,     109,27.1,      61,15.2,      62,15.4,     142,35.3,      44,10.9,3.0,55.0,5.2,33.3,0.5,0.0,3.0,52.7,47.3,     128,22.3,        399,26.6,100.0,  15.1 to 1,96.2,100.0,"     $31,536,769","  $84,822",    372.0,34.0,34.0,100.0,-,-,-,-,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         178,76.0,          69,29.0,         109,47.0,          50,21.0,           6,3.0,         234,518.0,67.2,         163,97.0,         178,76.0,          68,29.0,         110,47.0,          53,23.0,           3,1.0,         234,517.0,66.6,         163,98.0,Not requiring assistance or intervention,Meeting targets,93.0,91.0
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     486,     478,       0,       0,       0,       0,       0,     964,     149,15.5,      23,2.4,     153,15.9,     216,22.4,      48,5.0,2.3,34.4,3.5,55.9,0.0,0.0,3.8,51.8,48.2,     575,24.0,        978,66.6,100.0,  14.5 to 1,93.1,97.0,"     $31,536,769","  $84,822",    372.0,82.0,79.0,96.3,  15.2,  83.5,   1.3,   0.0,"          $81,006,084.03","           5,632.3","              $14,382.42","          $90,445,893.59","           5,761.7","              $15,697.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         696,74.0,         142,15.0,         554,59.0,         217,23.0,          29,3.0,         942,511.6,50.7,         896,86.0,         768,82.0,         279,30.0,         489,52.0,         152,16.0,          17,2.0,         937,518.5,57.5,         894,99.0,Not requiring assistance or intervention,Meeting targets,88.0,76.0
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      51,     108,      81,      99,     105,     106,       0,       0,       0,       0,       0,       0,       0,       0,       0,     550,       8,1.5,       6,1.1,      79,14.4,     202,36.7,     147,26.7,0.7,0.2,4.4,92.0,0.2,0.0,2.5,52.0,48.0,     158,19.8,        567,36.5,100.0,  15.1 to 1,87.0,100.0,"      $5,098,533","  $76,860",     66.0,48.0,44.0,91.7,   2.3,  95.5,   2.3,   0.0,"          $12,335,199.66",             970.4,"              $12,711.46","          $16,266,437.91","           1,285.8","              $12,650.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         142,69.0,          24,12.0,         118,58.0,          54,26.0,           9,4.0,         205,508.9,56.7,         100,78.0,         109,53.0,          19,9.0,          90,44.0,          84,41.0,          12,6.0,         205,504.0,60.9,         100,69.0,Not requiring assistance or intervention,Meeting targets,82.0,95.0
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     103,     114,     119,      77,       0,       0,       0,       0,       0,     413,       2,0.5,       1,0.2,      60,14.5,     136,32.9,     101,24.5,1.0,0.0,1.9,96.4,0.0,0.0,0.7,53.5,46.5,     277,18.7,        422,29.0,100.0,  14.3 to 1,96.5,96.5,"      $5,098,533","  $76,860",     66.0,40.0,36.0,90.0,  13.9,  66.7,  19.4,   0.0,"          $12,335,199.66",             970.4,"              $12,711.46","          $16,266,437.91","           1,285.8","              $12,650.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         178,44.0,          15,4.0,         163,41.0,         170,42.0,          54,13.0,         402,496.8,46.5,         389,31.0,         203,51.0,          28,7.0,         175,44.0,         173,43.0,          24,6.0,         400,500.0,57.4,         387,53.0,Not requiring assistance or intervention,Partially meeting targets,47.0,65.0
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     144,     158,     159,     158,     149,     121,     104,       0,     993,     237,23.9,      94,9.5,      53,5.3,     200,20.1,      67,6.7,1.9,17.4,5.4,68.2,0.2,0.0,6.8,52.4,47.6,     489,19.3,        983,82.0,86.0,  12.1 to 1,62.7,70.2,,,,,,,,,,,"          $14,976,389.43",             990.2,"              $15,125.37","          $14,976,389.43",             990.2,"              $15,125.37",       102,99.0,1.0,0.0,0.0,0.0,0.0,     532,1.0,0.2,101.0,91.0,90.1,0.0,41.8,3.3,54.9,2.2,8.8,27.5,101.0,101.0,100.0,     211,     352,112.0,64.0,29.0,5.0,1.0,3.0,27.0,75.0,100.0,147.0,8.5,91.5,156.0,631.0,676.0,         221,         209,94.6,         318,70.0,          71,16.0,         247,54.0,         125,27.0,          14,3.0,         457,510.0,53.5,         420,82.0,         302,66.0,          71,16.0,         231,51.0,         136,30.0,          17,4.0,         455,509.3,47.4,         421,86.0,Not requiring assistance or intervention,Partially meeting targets,98.0,67.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     163,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     163,       4,2.5,       0,0.0,      74,45.4,     100,61.3,      59,36.2,1.8,8.6,13.5,74.2,0.0,0.0,1.8,54.0,46.0,      16,12.8,        186,9.5,100.0,  17.2 to 1,89.5,89.5,"     $24,109,895","  $74,116",    325.0,14.0,14.0,100.0,-,-,-,-,"          $61,066,265.11","           3,840.0","              $15,902.67","          $66,245,259.79","           3,955.6","              $16,747.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     318,     279,     291,     277,      10,"   1,175",      62,5.3,      21,1.8,     176,15.0,     387,32.9,     266,22.6,1.5,1.8,5.4,89.3,0.0,0.1,2.0,51.7,48.3,     593,15.6,"      1,165",97.0,100.0,  12.1 to 1,90.7,95.9,"     $24,109,895","  $74,116",    325.0,117.0,117.0,100.0,   6.0,  94.0,   0.0,   0.0,"          $61,066,265.11","           3,840.0","              $15,902.67","          $66,245,259.79","           3,955.6","              $16,747.21",       285,93.7,1.8,0.0,0.7,3.9,0.0,"   1,165",13.0,1.1,271.0,212.0,78.2,0.0,29.7,34.0,36.3,32.1,16.5,7.5,271.0,239.0,88.2,     231,     411,112.0,78.0,26.0,11.0,4.0,36.0,135.0,136.0,70.0,34.0,41.6,58.4,245.0,548.0,555.0,         562,         352,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,43.0,37.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     311,     262,       0,       0,       0,       0,       0,     573,      43,7.5,       5,0.9,      86,15.0,     214,37.3,     161,28.1,2.3,3.5,8.7,82.5,0.0,0.0,3.0,51.1,48.9,     796,12.7,        581,60.7,100.0,   9.4 to 1,91.9,95.2,"     $24,109,895","  $74,116",    325.0,71.0,71.0,100.0,  21.1,  78.9,   0.0,   0.0,"          $61,066,265.11","           3,840.0","              $15,902.67","          $66,245,259.79","           3,955.6","              $16,747.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         236,42.0,          21,4.0,         215,38.0,         245,44.0,          78,14.0,         559,494.2,44.9,         539,22.0,         252,45.0,          19,3.0,         233,42.0,         253,46.0,          49,9.0,         554,497.4,41.9,         536,43.0,Not requiring assistance or intervention,Partially meeting targets,17.0,36.0
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      68,      92,      65,      78,      85,       0,       0,       0,       0,       0,       0,       0,       0,       0,     388,      56,14.4,      40,10.3,      50,12.9,     153,39.4,     103,26.5,1.5,3.6,5.4,86.9,0.0,0.0,2.6,56.7,43.3,     226,17.9,        381,29.8,100.0,  13.0 to 1,91.6,95.0,"     $24,109,895","  $74,116",    325.0,40.0,40.0,100.0,  10.0,  90.0,   0.0,   0.0,"          $61,066,265.11","           3,840.0","              $15,902.67","          $66,245,259.79","           3,955.6","              $16,747.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          80,52.0,          15,10.0,          65,42.0,          66,43.0,           9,6.0,         155,501.7,49.7,          79,49.0,          89,59.0,          15,10.0,          74,49.0,          59,39.0,           4,3.0,         152,505.0,63.9,          79,73.0,Not requiring assistance or intervention,Meeting targets,68.0,89.0
