School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Cumulative Progress Toward Improvement Targets (%)
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,     105,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     105,      24,  22.9,       5,   4.8,      41,  39.0, , ,      51,  48.6,       8,   7.6,5.7,34.3,7.6,42.9,0.0,0.0,9.5,54.3,45.7,      12,10.1,        111,8.0,100.0,13.1,87.5,100.0,100.0,"     $32,945,978","  $86,677",    380.1,10.0,10.0,100.0,  20.0,  80.0,   0.0,   0.0,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      59,      64,      62,      46,      50,      74,      94,       0,       0,       0,       0,       0,       0,       0,     449,     139,  31.0,      42,   9.4,      71,  15.8, , ,     160,  35.6,      36,   8.0,2.7,61.5,7.1,24.9,0.0,0.2,3.6,51.4,48.6,     143,22.3,        449,30.2,100.0,14.9,79.5,100.0,100.0,"     $32,945,978","  $86,677",    380.1,40.0,39.0,97.5,  15.4,  82.1,   2.6,   0.0,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         211,81.0,          83,32.0,         128,49.0,          46,18.0,           4,2.0,         261,520.7,64.6,         212,98.0,         200,77.0,          92,35.0,         108,41.0,          56,21.0,           5,2.0,         261,520.7,66.0,         212,99.0,Not requiring assistance or intervention,School of Recognition: High Growth,97.0,92.0
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      62,      75,      66,      70,      84,      89,      74,       0,       0,       0,       0,       0,       0,       0,     520,      98,  18.8,      33,   6.3,      76,  14.6, , ,     150,  28.8,      41,   7.9,3.5,12.3,10.0,67.1,0.4,0.0,6.7,50.6,49.4,     170,21.6,        519,33.1,100.0,15.7,80.1,97.0,97.1,"     $32,945,978","  $86,677",    380.1,41.0,39.0,95.1,   7.7,  92.3,   0.0,   0.0,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         201,65.0,          44,14.0,         157,51.0,          95,31.0,          11,4.0,         307,508.0,49.7,         220,72.0,         174,57.0,          27,9.0,         147,48.0,         119,39.0,          14,5.0,         307,502.9,50.7,         221,63.0,Not requiring assistance or intervention,Substantial progress toward targets,68.0,68.0
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      59,      62,      62,      70,      71,      96,      72,       0,       0,       0,       0,       0,       0,       0,     492,      71,  14.4,      27,   5.5,      77,  15.7, , ,     134,  27.2,      28,   5.7,2.0,20.9,6.5,66.5,0.0,0.2,3.9,51.2,48.8,     156,22.3,        493,31.6,96.8,15.6,82.3,96.8,100.0,"     $32,945,978","  $86,677",    380.1,40.0,38.0,95.0,   7.9,  89.5,   2.6,   0.0,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         206,68.0,          36,12.0,         170,56.0,          93,31.0,           4,1.0,         303,510.0,51.6,         228,79.0,         210,69.0,          35,12.0,         175,58.0,          82,27.0,          11,4.0,         303,508.6,62.8,         230,82.0,Not requiring assistance or intervention,Meeting or exceeding targets,83.0,75.0
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      39,      42,      61,      70,      67,      49,      48,       0,       0,       0,       0,       0,       0,       0,     376,     111,  29.5,      43,  11.4,      57,  15.2, , ,     134,  35.6,      34,   9.0,2.9,55.6,5.1,33.0,0.5,0.0,2.9,54.8,45.2,     123,21.7,        374,26.6,100.0,14.1,100.0,100.0,100.0,"     $32,945,978","  $86,677",    380.1,36.0,36.0,100.0,-,-,-,-,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         196,86.0,          83,36.0,         113,50.0,          32,14.0,           0,0.0,         228,522.5,70.3,         159,99.0,         186,82.0,          81,36.0,         105,46.0,          38,17.0,           4,2.0,         228,520.3,63.8,         159,99.0,Not requiring assistance or intervention,School of Recognition: High Achievement - High Growth - Exceeding Targets,96.0,96.0
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     435,     488,       0,       0,       0,       0,       0,     923,     149,  16.1,      20,   2.2,     152,  16.5, , ,     244,  26.4,      49,   5.3,2.9,35.0,4.7,53.7,0.3,0.0,3.4,54.3,45.7,     567,22.6,        937,67.8,100.0,13.6,90.9,91.2,98.6,"     $32,945,978","  $86,677",    380.1,86.0,84.0,97.7,  19.0,  75.0,   6.0,   0.0,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         718,79.0,         178,20.0,         540,59.0,         161,18.0,          29,3.0,         908,513.7,46.9,         883,89.0,         745,82.0,         324,36.0,         421,46.0,         133,15.0,          28,3.0,         906,520.4,55.3,         879,99.0,Not requiring assistance or intervention,Meeting or exceeding targets,89.0,79.0
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      46,     121,     105,      80,     109,     104,       0,       0,       0,       0,       0,       0,       0,       0,       0,     565,       8,   1.4,       7,   1.2,      70,  12.4, , ,     197,  34.9,     146,  25.8,0.7,0.4,4.1,91.3,0.2,0.0,3.4,49.9,50.1,     271,20.7,        582,42.5,100.0,13.3,85.9,95.3,97.7,"      $5,217,686","  $69,108",     75.5,48.0,48.0,100.0,   2.1,  93.8,   4.2,   0.0,"          $12,904,090.49","           1,018.1","              $12,674.68","          $17,148,647.53","           1,336.5","              $12,831.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         159,77.0,          31,15.0,         128,62.0,          45,22.0,           3,1.0,         207,513.2,63.5,          99,88.0,         118,56.0,          19,9.0,          99,47.0,          80,38.0,          11,5.0,         209,502.7,65.2,          99,63.0,Not requiring assistance or intervention,Meeting or exceeding targets,83.0,86.0
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     102,     105,     121,     111,       0,       0,       0,       0,       0,     439,       2,   0.5,       1,   0.2,      57,  13.0, , ,     141,  32.1,     104,  23.7,0.9,0.5,2.3,94.8,0.0,0.0,1.6,53.1,46.9,     292,19.5,        443,33.0,100.0,13.3,93.9,93.9,97.0,"      $5,217,686","  $69,108",     75.5,41.0,41.0,100.0,  12.2,  63.4,  24.4,   0.0,"          $12,904,090.49","           1,018.1","              $12,674.68","          $17,148,647.53","           1,336.5","              $12,831.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         211,49.0,          13,3.0,         198,46.0,         193,45.0,          27,6.0,         431,498.9,48.9,         415,36.0,         234,54.0,          30,7.0,         204,47.0,         176,41.0,          21,5.0,         431,501.7,55.1,         413,58.0,Not requiring assistance or intervention,Substantial progress toward targets,49.0,66.0
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     106,     144,     158,     156,     154,     137,     119,       0,     974,     232,  23.8,      44,   4.5,      58,   6.0, , ,     214,  22.0,      64,   6.6,1.8,17.4,5.7,67.7,0.3,0.0,7.1,52.0,48.0,     499,18.8,        970,81.5,90.7,11.9,71.5,71.2,80.2,,,,,,,,,,,"          $15,910,750.63",             972.7,"              $16,357.31","          $15,910,750.63",             972.7,"              $16,357.31",       119,98.3,0.0,0.0,0.0,1.7,0.0,     566,2.0,0.4,117.0,108.0,92.3,0.0,48.7,0.9,42.7,0.9,7.7,21.4,91.4,117.0,117.0,100.0,     254,     490,109.0,73.0,54.0,17.0,1.0,17.0,59.0,107.0,145.0,162.0,15.5,84.5,185.0,624.0,662.0,         254,         244,96.1,         300,75.0,          69,17.0,         231,58.0,          92,23.0,           7,2.0,         399,512.7,54.2,         381,86.0,         287,72.0,          83,21.0,         204,51.0,         106,27.0,           7,2.0,         400,512.9,54.3,         380,91.0,Not requiring assistance or intervention,Meeting or exceeding targets,98.0,79.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     162,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     162,      10,   6.2,       0,   0.0,      68,  42.0, , ,      97,  59.9,      53,  32.7,1.9,8.0,7.4,80.9,0.0,0.0,1.9,48.8,51.2,      18,11.6,        187,8.5,100.0,19.1,82.4,100.0,100.0,"     $25,584,999","  $79,828",    320.5,13.0,13.0,100.0,-,-,-,-,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     265,     292,     270,     277,       9,"   1,113",      59,   5.3,      19,   1.7,     152,  13.7, , ,     345,  31.0,     236,  21.2,1.6,2.0,6.4,87.7,0.1,0.0,2.2,50.1,49.9,     692,14.0,"      1,088",93.9,100.0,11.9,92.5,96.5,89.0,"     $25,584,999","  $79,828",    320.5,118.0,118.0,100.0,   8.5,  91.5,   0.0,   0.0,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",       285,90.5,1.1,1.8,0.7,6.0,0.0,"   1,104",19.0,1.7,260.0,204.0,78.5,0.0,28.5,29.6,20.4,28.1,10.0,5.8,48.9,260.0,221.0,85.0,     233,     462,97.0,80.0,30.0,17.0,9.0,40.0,154.0,155.0,68.0,45.0,42.0,58.0,218.0,546.0,555.0,         536,         328,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Substantial progress toward targets,46.0,59.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     291,     300,       0,       0,       0,       0,       0,     591,      59,  10.0,      10,   1.7,      85,  14.4, , ,     246,  41.6,     182,  30.8,2.4,4.4,7.3,83.2,0.0,0.0,2.7,53.8,46.2,     805,11.3,        584,59.3,100.0,10.0,86.6,88.0,96.9,"     $25,584,999","  $79,828",    320.5,75.0,75.0,100.0,  25.3,  74.7,   0.0,   0.0,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         262,46.0,          19,3.0,         243,43.0,         243,43.0,          65,11.0,         570,495.8,44.0,         551,26.0,         292,51.0,          54,9.0,         238,42.0,         237,42.0,          40,7.0,         569,501.3,45.9,         548,56.0,Not requiring assistance or intervention,Substantial progress toward targets,25.0,57.0
