School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     460,     475,       0,       0,       0,       0,       0,     935,     133,  14.2,      11,   1.2,     159,  17.0,     207,  22.1, , ,   1.2,  23.4,   3.3,  67.8,   0.2,   0.0,   4.1,  50.6,  49.4,     444,23.2,        939,62.2,100.0,     279,100.0,  15.0 to 1,"     $14,100,746","  $76,676",    183.9,,,,,,,,"          $36,803,025.00","           2,906.8","              $12,661.01","          $41,985,883.00","           3,007.1","              $13,962.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      47,      73,     102,     107,      73,     113,       0,       0,       0,       0,       0,       0,       0,       0,       0,     515,       5,   1.0,       0,   0.0,      84,  16.3,     168,  32.6, , ,   0.4,   0.0,   1.2,  98.4,   0.0,   0.0,   0.0,  52.6,  47.4,      28,19.3,        540,37.0,100.0,     136,100.0,  13.9 to 1,"      $4,376,744","  $63,431",     69.0,43.0,      23,  53.5,   0.0,  95.7,   4.3,   0.0,"          $10,475,460.52",             982.1,"              $10,666.39","          $14,632,524.52","           1,266.9","              $11,549.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     110,     117,     112,     122,       0,       0,       0,       0,       0,     461,       8,   1.7,       2,   0.4,      79,  17.1,     175,  38.0, , ,   0.9,   0.4,   0.0,  98.5,   0.0,   0.0,   0.2,  52.1,  47.9,     311,16.6,        463,32.0,100.0,     165,100.0,  14.4 to 1,"      $4,376,744","  $63,431",     69.0,38.0,      26,  68.4,   0.0,  92.3,   3.8,   3.8,"          $10,475,460.52",             982.1,"              $10,666.39","          $14,632,524.52","           1,266.9","              $11,549.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     141,     132,     179,     201,     143,     103,      71,       0,     970,     172,  17.7,       0,   0.0,      32,   3.3,     115,  11.9, , ,   2.6,  24.7,   5.4,  63.8,   0.6,   0.1,   2.8,  52.5,  47.5,     477,19.4,        969,80.5,82.2,     380,100.0,  12.1 to 1,,,,,,,,,,,,,,,,,72.0,98.6,1.4,0.0,0.0,0.0,0.0,     518,0.0,0.0,,,,,,,,,,,71.0,71.0,100.0,190.0,     331,92.0,65.0,26.0,5.0,2.0,7.0,8.0,55.0,91.0,170.0,4.5,95.5,69.0,595.0,640.0,98.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     135,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     135,       6,   4.4,       0,   0.0,      56,  41.5,      64,  47.4, , ,   2.2,   0.7,   8.9,  85.2,   0.0,   0.0,   3.0,  54.1,  45.9,       9,19.3,        174,7.0,100.0,      40,100.0,  19.3 to 1,"     $19,491,606","  $63,823",    305.4,14.0,       6,  42.9,-,-,-,-,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     370,     321,     313,     323,       0,"   1,327",      20,   1.5,      10,   0.8,     156,  11.8,     421,  31.7, , ,   2.0,   1.9,   3.1,  91.9,   0.2,   0.2,   0.7,  51.3,  48.7,     581,18.2,"      1,303",95.5,100.0,     387,100.0,  13.9 to 1,"     $19,491,606","  $63,823",    305.4,114.0,      46,  40.4,   2.2,  95.7,   2.2,   0.0,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",330.0,92.1,2.4,0.0,0.9,4.5,0.0,"   1,327",22.0,1.7,,,,,,,,,,,308.0,128.0,41.6,283.0,     550,119.0,93.0,52.0,12.0,7.0,87.0,178.0,175.0,85.0,25.0,48.2,51.8,230.0,494.0,514.0,44.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     298,     346,       0,       0,       0,       0,       0,     644,      22,   3.4,       5,   0.8,      84,  13.0,     245,  38.0, , ,   0.3,   2.3,   4.2,  91.5,   0.2,   0.2,   1.4,  52.8,  47.2,     691,13.0,        647,58.4,100.0,     385,100.0,  11.0 to 1,"     $19,491,606","  $63,823",    305.4,69.0,      36,  52.2,-,-,-,-,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      69,      64,      81,      68,      77,       0,       0,       0,       0,       0,       0,       0,       0,       0,     359,      25,   7.0,      19,   5.3,      25,   7.0,     120,  33.4, , ,   2.2,   4.7,   3.3,  85.5,   0.0,   0.0,   4.2,  44.8,  55.2,     197,19.7,        366,25.4,100.0,     163,100.0,  14.2 to 1,"     $19,491,606","  $63,823",    305.4,37.0,      21,  56.8,-,-,-,-,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      61,      62,      59,      57,      70,       0,       0,       0,       0,       0,       0,       0,       0,       0,     309,       7,   2.3,       6,   1.9,      45,  14.6,     135,  43.7, , ,   1.0,   1.9,   6.5,  89.3,   0.0,   0.0,   1.3,  51.1,  48.9,     159,20.3,        304,22.0,100.0,     122,100.0,  14.0 to 1,"     $19,491,606","  $63,823",    305.4,31.0,      15,  48.4,-,-,-,-,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      57,      62,      88,      66,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,     354,      34,   9.6,      31,   8.8,      55,  15.5,     162,  45.8, , ,   1.7,   3.4,   9.0,  83.6,   0.0,   0.0,   2.3,  48.6,  51.4,     184,21.0,        364,26.0,100.0,     156,100.0,  13.6 to 1,"     $19,491,606","  $63,823",    305.4,34.0,      17,  50.0,-,-,-,-,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       1,     281,     312,       3,       5,       0,       0,       0,       0,       0,     602,      19,   3.2,      10,   1.7,     104,  17.3,     261,  43.4, , ,   1.0,   1.3,   3.8,  93.0,   0.0,   0.0,   0.8,  50.8,  49.2,     350,17.8,        610,42.5,100.0,     279,100.0,  14.2 to 1,"     $19,491,606","  $63,823",    305.4,57.0,      25,  43.9,-,-,-,-,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      79,      79,      74,      68,      83,       0,       0,       0,       0,       0,       0,       0,       0,       0,     383,      49,  12.8,      35,   9.1,      51,  13.3,     182,  47.5, , ,   2.3,   1.8,   4.7,  87.7,   0.0,   0.0,   3.4,  51.4,  48.6,     211,19.3,        388,28.5,100.0,     182,100.0,  13.4 to 1,"     $19,491,606","  $63,823",    305.4,38.0,      24,  63.2,   4.2,  95.8,   0.0,   0.0,"          $49,955,927.40","           4,070.3","              $12,273.28","          $54,273,404.57","           4,202.9","              $12,913.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,       0,      39,      41,      40,      40,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     160,      42,  26.3,      17,  10.6,      25,  15.6,     132,  82.5, , ,  18.8,   1.3,  44.4,  28.1,   0.0,   0.0,   7.5,  43.8,  56.3,      57,19.9,        161,16.3,43.5,      49,59.2,   9.8 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      35,      79,      83,      85,      69,      77,       0,       0,       0,       0,       0,       0,       0,       0,       0,     428,       0,   0.0,       0,   0.0,      71,  16.6,     145,  33.9, , ,   1.2,   0.7,   2.8,  91.8,   0.0,   0.0,   3.5,  52.6,  47.4,     170,20.5,        427,29.2,96.6,     138,100.0,  14.7 to 1,"     $11,991,069","  $75,132",    159.6,38.0,      22,  57.9,-,-,-,-,"          $28,181,817.83","           2,312.9","              $12,184.62","          $32,505,934.90","           2,493.5","              $13,036.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     179,     140,     161,     160,       0,     640,      11,   1.7,       3,   0.5,     103,  16.1,     201,  31.4, , ,   0.9,   1.1,   3.4,  92.0,   0.0,   0.0,   2.5,  53.9,  46.1,     391,17.5,        639,43.1,100.0,     269,100.0,  14.8 to 1,"     $11,991,069","  $75,132",    159.6,56.0,      21,  37.5,-,-,-,-,"          $28,181,817.83","           2,312.9","              $12,184.62","          $32,505,934.90","           2,493.5","              $13,036.27",148.0,89.2,4.7,2.0,0.0,4.1,0.0,     640,15.0,2.3,,,,,,,,,,,137.0,137.0,100.0,69.0,     100,42.0,23.0,4.0,0.0,0.0,1.0,23.0,26.0,29.0,21.0,24.0,76.0,112.0,519.0,537.0,53.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,991,069","  $75,132",    159.6,,,,,,,,"          $28,181,817.83","           2,312.9","              $12,184.62","          $32,505,934.90","           2,493.5","              $13,036.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     179,     187,     170,     195,       0,       0,       0,       0,       0,     731,      16,   2.2,       0,   0.0,     141,  19.3,     255,  34.9, , ,   1.0,   0.5,   3.1,  92.9,   0.0,   0.0,   2.5,  55.5,  44.5,     371,19.3,        738,53.2,100.0,     205,100.0,  13.7 to 1,"     $11,991,069","  $75,132",    159.6,64.0,      25,  39.1,-,-,-,-,"          $28,181,817.83","           2,312.9","              $12,184.62","          $32,505,934.90","           2,493.5","              $13,036.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      52,      90,     101,      88,     110,      97,       0,       0,       0,       0,       0,       0,       0,       0,       0,     538,      21,   3.9,      12,   2.2,     101,  18.8,     210,  39.0, , ,   2.0,   1.9,   4.5,  88.7,   0.0,   0.4,   2.6,  48.5,  51.5,     204,21.4,        547,34.1,100.0,     166,100.0,  15.8 to 1,"     $11,991,069","  $75,132",    159.6,42.0,      19,  45.2,-,-,-,-,"          $28,181,817.83","           2,312.9","              $12,184.62","          $32,505,934.90","           2,493.5","              $13,036.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      65,      36,      52,      49,      46,      62,      43,      45,       0,       0,       0,       0,       0,       0,       0,     398,      66,  16.6,      49,  12.3,      83,  20.9,     197,  49.5, , ,  11.1,  12.6,  19.3,  51.0,   0.0,   0.5,   5.5,  49.0,  51.0,     107,19.3,        403,35.1,100.0,     161,100.0,  11.3 to 1,"      $8,233,665","  $71,225",    115.6,50.0,      23,  46.0,  13.0,  73.9,  13.0,   0.0,"          $23,147,827.00","           1,195.9","              $19,355.99","          $24,493,757.00","           1,285.5","              $19,053.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      53,      52,      48,      60,      46,      56,      61,       0,       0,       0,       0,       0,       0,       0,     376,      96,  25.5,      63,  16.8,      78,  20.7,     204,  54.3, , ,   9.3,  14.9,  19.1,  47.1,   0.0,   0.3,   9.3,  50.8,  49.2,     119,19.6,        385,38.3,100.0,     168,95.2,   9.8 to 1,"      $8,233,665","  $71,225",    115.6,54.0,      33,  61.1,   3.0,  97.0,   0.0,   0.0,"          $23,147,827.00","           1,195.9","              $19,355.99","          $24,493,757.00","           1,285.5","              $19,053.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      60,      54,      49,      63,      67,      66,      73,       0,       0,       0,       0,       0,       0,       0,     432,      95,  22.0,      51,  11.8,      71,  16.4,     225,  52.1, , ,   8.1,  11.6,  19.0,  53.5,   0.2,   0.0,   7.6,  51.9,  48.1,     128,21.0,        438,42.2,100.0,     188,100.0,  10.2 to 1,"      $8,233,665","  $71,225",    115.6,56.0,      26,  46.4,   7.7,  76.9,  15.4,   0.0,"          $23,147,827.00","           1,195.9","              $19,355.99","          $24,493,757.00","           1,285.5","              $19,053.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0
