School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     467,     488,       0,       0,       0,       0,0.0,     955,     145,  15.2,      10,   1.0,     142,  14.9, , , , ,   0.7,  23.9,   3.7,  69.3,   0.1,   0.0,   2.3,  50.4,  49.6,     338,23.0,        955,63.9,100.0,     294,100.0,  14.9 to 1,"     $13,950,668","  $76,779",    181.7,"          $36,214,463.00","           2,905.2","              $12,465.39","          $41,091,892.00","           3,000.1","              $13,696.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      23,      98,     108,      71,     111,     109,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     520,       7,   1.3,       0,   0.0,      93,  17.9, , , , ,   0.0,   0.0,   0.8,  99.2,   0.0,   0.0,   0.0,  51.9,  48.1,      32,78.3,        520,37.5,100.0,     136,100.0,  13.9 to 1,"      $4,392,412","  $60,585",     72.5,"          $10,623,254.36",             994.7,"              $10,679.86","          $14,575,370.32","           1,263.8","              $11,532.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     113,     108,     129,     135,       0,       0,       0,       0,0.0,     485,      10,   2.1,       2,   0.4,      73,  15.1, , , , ,   0.6,   0.4,   0.4,  98.6,   0.0,   0.0,   0.0,  52.4,  47.6,     283,17.0,        485,35.0,100.0,     241,100.0,  13.8 to 1,"      $4,392,412","  $60,585",     72.5,"          $10,623,254.36",             994.7,"              $10,679.86","          $14,575,370.32","           1,263.8","              $11,532.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     131,     187,     256,     149,     103,      75,      62,0.0,     963,     159,  16.5,      19,   2.0,      40,   4.2, , , , ,   2.3,  26.7,   5.3,  63.3,   0.4,   0.0,   2.0,  53.8,  46.2,     478,20.3,        963,80.4,77.6,     400,100.0,  12.0 to 1,,,,,,,,,,        61,100.0,0.0,0.0,0.0,0.0,0.0,     389,0.0,0.0,,,,,,,,,,,62.0,62.0,100.0,127.0,     220,61.0,43.0,20.0,2.0,1.0,5.0,11.0,34.0,66.0,104.0,7.3,92.7,59.0,611.0,638.0,98.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     118,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     118,       8,   6.8,       0,   0.0,      50,  42.4, , , , ,   2.5,   0.0,   2.5,  94.9,   0.0,   0.0,   0.0,  52.5,  47.5,       7,16.9,        118,7.0,100.0,      29,100.0,  16.9 to 1,"     $18,912,887","  $61,706",    306.5,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     377,     342,     335,     297,0.0,"   1,351",      24,   1.8,      18,   1.3,     138,  10.2, , , , ,   2.1,   1.6,   2.3,  93.0,   0.1,   0.1,   0.6,  50.6,  49.4,     490,20.2,"      1,349",96.8,100.0,     375,100.0,  14.0 to 1,"     $18,912,887","  $61,706",    306.5,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",       318,91.5,1.9,0.3,1.3,4.7,0.3,"   1,351",18.0,1.3,,,,,,,,,,,290.0,129.0,44.5,253.0,     477,120.0,83.0,27.0,11.0,12.0,85.0,121.0,148.0,85.0,38.0,43.2,56.8,232.0,489.0,508.0,48.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     358,     339,       0,       0,       0,       0,0.0,     697,      14,   2.0,       5,   0.7,      94,  13.5, , , , ,   1.0,   1.7,   4.3,  92.0,   0.3,   0.1,   0.6,  52.5,  47.5,     439,17.4,        703,55.7,100.0,     386,100.0,  12.5 to 1,"     $18,912,887","  $61,706",    306.5,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      66,      79,      63,      75,      81,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     364,      34,   9.3,      30,   8.2,      27,   7.4, , , , ,   1.9,   4.9,   2.5,  88.2,   0.0,   0.0,   2.5,  48.9,  51.1,     206,18.9,        366,26.0,100.0,     164,100.0,  14.0 to 1,"     $18,912,887","  $61,706",    306.5,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      58,      55,      59,      72,      65,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     309,       5,   1.6,       5,   1.6,      45,  14.6, , , , ,   0.3,   1.3,   8.1,  89.3,   0.0,   0.0,   1.0,  49.2,  50.8,     159,20.6,        309,20.8,100.0,     115,100.0,  14.9 to 1,"     $18,912,887","  $61,706",    306.5,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      57,      87,      69,      73,      69,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     355,      26,   7.3,      24,   6.8,      50,  14.1, , , , ,   1.1,   3.1,   6.2,  87.3,   0.0,   0.0,   2.3,  49.3,  50.7,     170,22.3,        357,26.3,100.0,     152,100.0,  13.5 to 1,"     $18,912,887","  $61,706",    306.5,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     311,     314,       7,       4,       0,       0,       0,       0,0.0,     636,      17,   2.7,      15,   2.4,     101,  15.9, , , , ,   1.3,   1.4,   5.3,  90.1,   0.0,   0.2,   1.7,  51.1,  48.9,     321,18.5,        630,46.9,100.0,     297,100.0,  13.6 to 1,"     $18,912,887","  $61,706",    306.5,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      78,      78,      71,      78,      69,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     374,      39,  10.4,      39,  10.4,      56,  15.0, , , , ,   2.4,   1.9,   4.5,  89.8,   0.0,   0.0,   1.3,  50.8,  49.2,     212,18.3,        369,27.0,100.0,     154,100.0,  13.8 to 1,"     $18,912,887","  $61,706",    306.5,"          $48,545,142.67","           3,946.0","              $12,302.37","          $54,611,754.02","           4,076.2","              $13,397.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,       0,      40,      40,      40,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     120,      23,  19.2,       6,   5.0,       6,   5.0, , , , ,  20.0,   1.7,  36.7,  31.7,   0.0,   0.0,  10.0,  46.7,  53.3,      42,20.0,        120,13.9,49.9,      36,100.0,   8.6 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      49,      79,      81,      68,      76,      82,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     435,       0,   0.0,       0,   0.0,      97,  22.3, , , , ,   1.6,   0.5,   3.2,  92.0,   0.0,   0.0,   2.8,  52.4,  47.6,     184,19.2,        435,28.5,100.0,     144,100.0,  15.3 to 1,"     $10,624,387","  $69,668",    152.5,"          $26,730,490.00","           2,325.8","              $11,493.03","          $30,864,585.00","           2,493.8","              $12,376.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     143,     156,     156,     150,4.0,     609,       7,   1.1,       1,   0.2,     102,  16.7, , , , ,   1.1,   1.0,   1.8,  93.6,   0.2,   0.0,   2.3,  53.7,  46.3,     135,18.6,        608,42.1,100.0,     263,99.6,  14.5 to 1,"     $10,624,387","  $69,668",    152.5,"          $26,730,490.00","           2,325.8","              $11,493.03","          $30,864,585.00","           2,493.8","              $12,376.53",       149,85.2,4.7,2.0,2.0,6.0,0.0,     605,10.0,1.7,,,,,,,,,,,132.0,132.0,100.0,81.0,     117,51.0,24.0,6.0,0.0,0.0,4.0,26.0,32.0,32.0,23.0,25.6,74.4,101.0,529.0,524.0,60.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,624,387","  $69,668",    152.5,"          $26,730,490.00","           2,325.8","              $11,493.03","          $30,864,585.00","           2,493.8","              $12,376.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     178,     168,     195,     201,       0,       0,       0,       0,0.0,     742,      14,   1.9,       2,   0.3,     130,  17.5, , , , ,   0.9,   0.4,   4.4,  91.4,   0.0,   0.0,   2.8,  55.3,  44.7,     276,19.0,        742,49.8,98.0,     177,97.2,  14.9 to 1,"     $10,624,387","  $69,668",    152.5,"          $26,730,490.00","           2,325.8","              $11,493.03","          $30,864,585.00","           2,493.8","              $12,376.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      29,      96,      89,     114,      96,     105,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     529,      18,   3.4,      10,   1.9,      94,  17.8, , , , ,   0.6,   0.6,   3.0,  93.8,   0.0,   0.2,   1.9,  48.8,  51.2,     204,21.7,        529,32.0,100.0,     158,100.0,  16.5 to 1,"     $10,624,387","  $69,668",    152.5,"          $26,730,490.00","           2,325.8","              $11,493.03","          $30,864,585.00","           2,493.8","              $12,376.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      62,      34,      50,      45,      56,      42,      46,      48,       0,       0,       0,       0,       0,       0,0.0,     383,      63,  16.4,      52,  13.6,      79,  20.6, , , , ,   9.9,  11.7,  20.1,  51.2,   0.5,   0.5,   6.0,  51.4,  48.6,     104,19.6,        387,33.1,100.0,     156,99.4,  11.6 to 1,"      $8,556,305","  $75,452",    113.4,"          $22,658,840.78","           1,214.7","              $18,653.86","          $23,875,205.78","           1,298.4","              $18,388.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      54,      43,      60,      54,      53,      62,      65,       0,       0,       0,       0,       0,       0,0.0,     391,      74,  18.9,      64,  16.4,      81,  20.7, , , , ,   8.4,  13.3,  20.5,  48.1,   0.0,   0.5,   9.2,  52.7,  47.3,     120,19.7,        392,37.6,100.0,     173,95.4,  10.4 to 1,"      $8,556,305","  $75,452",    113.4,"          $22,658,840.78","           1,214.7","              $18,653.86","          $23,875,205.78","           1,298.4","              $18,388.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      50,      47,      69,      69,      73,      75,      57,       0,       0,       0,       0,       0,       0,0.0,     440,      62,  14.1,      55,  12.5,      80,  18.2, , , , ,   7.0,  12.5,  16.4,  56.8,   0.0,   0.0,   7.3,  52.0,  48.0,     135,19.9,        437,42.7,100.0,     193,100.0,  10.3 to 1,"      $8,556,305","  $75,452",    113.4,"          $22,658,840.78","           1,214.7","              $18,653.86","          $23,875,205.78","           1,298.4","              $18,388.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
Amherst-Pelham: Amherst Regional High,06050505,Public School,Amherst,MA,01002,"09,10,11,12",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     273,     252,     284,     274,0.0,"   1,083",     132,  12.2,      30,   2.8,     203,  18.7, , , , ,   6.2,   9.5,  12.8,  63.1,   0.2,   0.1,   8.1,  50.6,  49.4,     360,13.9,"      1,083",80.5,97.5,     806,97.1,  13.5 to 1,"      $9,619,330","  $76,405",    125.9,"          $27,412,015.69","           1,535.6","              $17,851.01","          $30,251,321.69","           1,678.2","              $18,026.05",       275,86.5,4.7,0.0,2.9,5.8,0.0,"   1,083",16.0,1.5,,,,,,,,,,,244.0,0.0,0.0,151.0,     220,93.0,49.0,7.0,2.0,0.0,8.0,9.0,44.0,61.0,98.0,7.7,92.3,204.0,579.0,586.0,65.0
Amherst-Pelham: Amherst Regional Middle School,06050405,Public School,Amherst,MA,01002,"07,08",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     240,     222,       0,       0,       0,       0,0.0,     462,      52,  11.3,      11,   2.4,     102,  22.1, , , , ,   7.1,  10.2,  11.5,  63.9,   0.0,   0.0,   7.4,  53.0,  47.0,     272,15.2,        461,45.4,100.0,     191,86.9,  10.2 to 1,"      $9,619,330","  $76,405",    125.9,"          $27,412,015.69","           1,535.6","              $17,851.01","          $30,251,321.69","           1,678.2","              $18,026.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0
