School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $29,231,455","  $80,750",    362.0,,,,,,,,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      40,      68,      67,      66,      73,      73,      72,       0,       0,       0,       0,       0,       0,       0,     459,      92,20.0,      33,7.2,      66,14.4, , ,     101,22.0,      16,3.5,2.0,59.5,2.2,33.3,0.0,0.0,3.1,47.9,52.1,     142,23.1,        463,27.8,100.0,     122,100.0,16.5,"     $29,231,455","  $80,750",    362.0,36.0,      35,  97.2,   5.7,  94.3,   0.0,   0.0,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      60,      64,      68,      63,      71,      69,      72,       0,       0,       0,       0,       0,       0,       0,     467,      84,18.0,      38,8.1,      72,15.4, , ,     121,25.9,      31,6.6,2.1,13.9,6.9,70.9,0.2,0.0,6.0,48.8,51.2,     149,22.5,        473,28.2,100.0,     128,100.0,16.6,"     $29,231,455","  $80,750",    362.0,37.0,      34,  91.9,   8.8,  88.2,   2.9,   0.0,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,      81,      57,      67,      67,      65,      93,      95,      73,       0,       0,       0,       0,       0,       0,       0,     598,      71,11.9,      26,4.3,     121,20.2, , ,     158,26.4,      23,3.8,1.3,24.4,3.8,66.9,0.0,0.2,3.3,53.2,46.8,     171,22.0,        606,35.9,100.0,     156,100.0,16.7,"     $29,231,455","  $80,750",    362.0,46.0,      44,  95.7,   6.8,  93.2,   0.0,   0.0,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,       0,      61,      44,      44,      66,      72,      71,      72,       0,       0,       0,       0,       0,       0,       0,     430,      78,18.1,      26,6.0,      84,19.5, , ,     121,28.1,      21,4.9,2.3,42.8,1.4,50.7,0.5,0.0,2.3,53.7,46.3,     135,22.3,        425,25.9,100.0,     116,100.0,16.6,"     $29,231,455","  $80,750",    362.0,36.0,      34,  94.4,-,-,-,-,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     428,     479,       0,       0,       0,       0,       0,     907,     117,12.9,      14,1.5,     137,15.1, , ,     177,19.5,      27,3.0,1.2,31.8,2.9,60.2,0.2,0.0,3.7,52.9,47.1,     545,23.0,        915,62.8,100.0,     283,100.0,14.4,"     $29,231,455","  $80,750",    362.0,78.0,      73,  93.6,   8.2,  91.8,   0.0,   0.0,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      51,      96,     101,      87,     105,     113,       0,       0,       0,       0,       0,       0,       0,       0,       0,     553,       3,0.5,       1,0.2,      93,16.8, , ,     178,32.2,     104,18.8,0.2,0.0,1.4,98.0,0.0,0.0,0.4,53.7,46.3,     243,19.8,        563,38.0,100.0,     182,97.3,14.6,"      $4,543,438","  $64,906",     70.0,46.0,      45,  97.8,-,-,-,-,"          $10,825,382.00",             967.5,"              $11,189.03","          $15,201,154.00","           1,281.7","              $11,860.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,      78,     116,     111,     115,       0,       0,       0,       0,       0,     420,      12,2.9,       6,1.4,      73,17.4, , ,     123,29.3,      66,15.7,0.5,0.7,1.0,97.9,0.0,0.0,0.0,48.8,51.2,     294,16.6,        416,32.0,100.0,     154,100.0,13.1,"      $4,543,438","  $64,906",     70.0,37.0,      36,  97.3,   2.8,  58.3,  36.1,   2.8,"          $10,825,382.00",             967.5,"              $11,189.03","          $15,201,154.00","           1,281.7","              $11,860.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     138,     147,     145,     116,     138,     186,     129,       0,     999,     197,19.7,       1,0.1,      36,3.6, , ,      96,9.6,      61,6.1,2.9,25.1,5.3,62.5,0.6,0.1,3.5,52.1,47.9,     468,19.9,        996,81.4,91.8,     365,100.0,12.3,,,,,,,,,,,,,,,,,128.0,99.2,0.8,0.0,0.0,0.0,0.0,     569,0.0,0.0,128.0,114.0,89.1,0.0,49.2,3.9,35.9,3.9,7.0,12.5,85.1,128.0,128.0,100.0,293.0,     554,128.0,97.0,50.0,12.0,6.0,13.0,51.0,108.0,150.0,232.0,11.6,88.4,129.0,619.0,670.0,98.0
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     165,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     165,       1,0.6,       0,0.0,      78,47.3, , ,     100,60.6,      55,33.3,1.2,1.2,4.2,93.3,0.0,0.0,0.0,63.6,36.4,      16,11.9,        190,7.0,100.0,      28,100.0,23.6,"     $20,849,537","  $64,769",    321.9,12.0,      11,  91.7,-,-,-,-,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     317,     339,     329,     295,       0,"   1,280",      47,3.7,      14,1.1,     142,11.1, , ,     346,27.0,     240,18.8,1.7,2.3,4.7,89.0,0.3,0.3,1.6,52.1,47.9,     577,17.7,"      1,270",93.0,100.0,     393,100.0,13.8,"     $20,849,537","  $64,769",    321.9,115.0,     113,  98.3,   2.7,  97.3,   0.0,   0.0,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",312.0,92.0,1.6,1.6,0.3,4.5,0.0,"   1,280",9.0,0.7,288.0,231.0,80.2,0.0,28.5,27.1,24.7,26.4,11.8,6.3,53.2,288.0,150.0,52.1,250.0,     490,99.0,92.0,37.0,14.0,8.0,62.0,121.0,186.0,88.0,33.0,37.3,62.7,219.0,493.0,515.0,39.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     300,     317,       0,       0,       0,       0,       0,     617,      26,4.2,       8,1.3,      87,14.1, , ,     231,37.4,     165,26.7,1.3,1.8,5.3,90.1,0.0,0.0,1.5,50.9,49.1,     824,11.7,        615,61.3,100.0,     382,100.0,10.1,"     $20,849,537","  $64,769",    321.9,74.0,      73,  98.6,  39.7,  60.3,   0.0,   0.0,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      76,      94,      79,      76,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,     406,      50,12.3,      36,8.9,      34,8.4, , ,     151,37.2,     111,27.3,2.0,3.9,4.9,86.7,0.0,0.0,2.5,50.7,49.3,     229,18.5,        401,25.5,100.0,     191,100.0,15.9,"     $20,849,537","  $64,769",    321.9,38.0,      37,  97.4,   2.7,  97.3,   0.0,   0.0,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      54,      55,      64,      66,      64,       0,       0,       0,       0,       0,       0,       0,       0,       0,     303,      11,3.6,       9,3.0,      61,20.1, , ,     132,43.6,     100,33.0,1.0,2.3,7.9,86.5,0.0,0.3,2.0,51.5,48.5,     159,20.2,        303,22.0,100.0,     126,100.0,13.8,"     $20,849,537","  $64,769",    321.9,29.0,      28,  96.6,  10.7,  89.3,   0.0,   0.0,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      52,      73,      62,      61,      84,       0,       0,       0,       0,       0,       0,       0,       0,       0,     332,      39,11.7,      33,9.9,      45,13.6, , ,     125,37.7,      84,25.3,2.7,3.9,6.6,84.9,0.0,0.0,1.8,50.9,49.1,     188,19.0,        334,28.0,100.0,     158,100.0,11.9,"     $20,849,537","  $64,769",    321.9,37.0,      36,  97.3,   5.6,  94.4,   0.0,   0.0,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     266,     316,       3,       5,       0,       0,       0,       0,       0,     590,      34,5.8,       7,1.2,     108,18.3, , ,     233,39.5,     144,24.4,1.2,1.9,6.6,86.8,0.0,0.0,3.6,45.8,54.2,     346,17.0,        580,44.1,100.0,     299,100.0,13.4,"     $20,849,537","  $64,769",    321.9,58.0,      57,  98.3,-,-,-,-,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      71,      73,      81,      91,      82,       0,       0,       0,       0,       0,       0,       0,       0,       0,     398,      61,15.3,      57,14.3,      56,14.1, , ,     190,47.7,     138,34.7,2.3,3.5,7.5,83.2,0.0,0.0,3.5,52.0,48.0,     226,18.4,        391,30.0,100.0,     196,100.0,13.3,"     $20,849,537","  $64,769",    321.9,40.0,      39,  97.5,  20.5,  79.5,   0.0,   0.0,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,       0,      39,      40,      38,      44,      38,      41,       0,       0,       0,       0,       0,       0,       0,       0,     240,      41,17.1,      27,11.3,      44,18.3, , ,     163,67.9,     128,53.3,15.4,0.8,45.4,29.6,2.5,0.4,5.8,46.3,53.8,      24,39.4,        237,22.4,35.7,      42,11.9,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      29,      87,      83,      74,      86,      74,       0,       0,       0,       0,       0,       0,       0,       0,       0,     433,       0,0.0,       0,0.0,      89,20.6, , ,     145,33.5,      78,18.0,8.8,0.2,4.4,82.9,0.2,0.0,3.5,50.6,49.4,     184,20.0,        441,26.2,100.0,     150,87.3,16.5,"     $12,158,388","  $77,147",    157.6,36.0,      34,  94.4,   2.9,  94.1,   0.0,   2.9,"          $29,541,450.00","           2,272.2","              $13,001.25","          $33,668,081.00","           2,444.7","              $13,771.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     160,     154,     168,     136,       3,     621,      10,1.6,       8,1.3,     102,16.4, , ,     149,24.0,      69,11.1,0.5,0.8,4.3,92.3,0.0,0.0,2.1,53.6,46.4,     394,15.5,        628,42.6,100.0,     292,91.4,14.6,"     $12,158,388","  $77,147",    157.6,55.0,      53,  96.4,   1.9,  94.3,   3.8,   0.0,"          $29,541,450.00","           2,272.2","              $13,001.25","          $33,668,081.00","           2,444.7","              $13,771.87",136.0,90.4,2.2,1.5,0.7,5.1,0.0,     618,6.0,1.0,124.0,88.0,71.0,0.0,19.4,23.4,28.2,23.4,3.2,9.7,47.599999999999994,124.0,124.0,100.0,80.0,     119,48.0,25.0,7.0,0.0,0.0,0.0,14.0,41.0,40.0,24.0,11.8,88.2,88.0,544.0,545.0,64.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,158,388","  $77,147",    157.6,,,,,,,,"          $29,541,450.00","           2,272.2","              $13,001.25","          $33,668,081.00","           2,444.7","              $13,771.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     177,     175,     192,     180,       0,       0,       0,       0,       0,     724,      20,2.8,       6,0.8,     131,18.1, , ,     218,30.1,     126,17.4,2.1,0.8,4.0,89.6,0.0,0.0,3.5,53.9,46.1,     423,18.7,        731,52.9,100.0,     281,87.9,13.7,"     $12,158,388","  $77,147",    157.6,62.0,      61,  98.4,   1.6,  96.7,   1.6,   0.0,"          $29,541,450.00","           2,272.2","              $13,001.25","          $33,668,081.00","           2,444.7","              $13,771.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      36,      83,      93,      93,     106,      91,       0,       0,       0,       0,       0,       0,       0,       0,       0,     502,      26,5.2,      21,4.2,     101,20.1, , ,     203,40.4,     128,25.5,3.0,2.0,7.0,84.5,0.2,0.4,3.0,51.8,48.2,     189,22.1,        515,33.9,100.0,     147,95.9,14.8,"     $12,158,388","  $77,147",    157.6,40.0,      38,  95.0,  13.2,  86.8,   0.0,   0.0,"          $29,541,450.00","           2,272.2","              $13,001.25","          $33,668,081.00","           2,444.7","              $13,771.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
