School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Acton-Boxborough: Carol Huebner Early Childhood Program,06000001,Public School,Acton,MA,01720,PK,Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Luther Conant School,06000030,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Merriam School,06000010,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Acton,MA,01720,"K,01,02,03,04,05,06",Acton-Boxborough,06000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,,,,,,,,,     485,     476,,,,,0.0,     961,     159,  16.5,      19,   2.0,     141,  14.7, , , , ,   0.9,  21.4,   2.8,  73.2,   0.0,   0.0,   1.7,  53.7,  46.3,57.5,100.0,     344,100.0,  16.7 to 1,"     $11,612,363","  $67,514",    172.0,"          $32,260,157.20","           2,921.0","              $11,044.22","          $36,961,581.20","           3,022.7","              $12,228.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      24,     104,     113,     100,     115,     130,,,,,,,,,0.0,     586,       6,   1.0,       0,   0.0,     129,  22.0, , , , ,   0.3,   0.0,   0.2,  99.5,   0.0,   0.0,   0.0,  50.3,  49.7,42.8,100.0,     151,100.0,  13.7 to 1,"      $3,725,494","  $49,020",     76.0,"           $9,276,627.70","           1,078.1","               $8,604.61","          $14,224,338.58","           1,449.0","               $9,816.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,,,,,,,     111,     118,     119,     138,,,,,0.0,     486,       1,   0.2,       0,   0.0,      81,  16.7, , , , ,   1.6,   0.4,   1.0,  96.3,   0.0,   0.0,   0.6,  51.4,  48.6,33.0,100.0,     240,100.0,  14.7 to 1,"      $3,725,494","  $49,020",     76.0,"           $9,276,627.70","           1,078.1","               $8,604.61","          $14,224,338.58","           1,449.0","               $9,816.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,,,,,,,,     148,     148,     130,      97,,,,0.0,     523,      44,   8.4,       0,   0.0,      27,   5.2, , , , ,   0.2,   8.4,   2.1,  86.2,   0.2,   0.0,   2.9,  55.6,  44.4,30.9,48.3,     200,85.5,  16.9 to 1,,,,,,,,,,,,,,,,,      97,4.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     127,,,,,,,,,,,,,,0.0,     127,       0,   0.0,       0,   0.0,      52,  40.9, , , , ,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  56.7,  43.3,7.5,100.0,      32,100.0,  16.9 to 1,"     $18,805,402","  $59,323",    317.0,"          $45,689,416.00","           4,349.4","              $10,504.76","          $50,199,702.00","           4,498.4","              $11,159.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,,,,,,,,,,,     370,     333,     318,     288,0.0,"   1,309",      39,   3.0,      10,   0.8,     128,   9.8, , , , ,   0.9,   0.5,   2.4,  95.3,   0.0,   0.5,   0.5,  51.3,  48.7,96.0,95.3,     334,94.9,  13.6 to 1,"     $18,805,402","  $59,323",    317.0,"          $45,689,416.00","           4,349.4","              $10,504.76","          $50,199,702.00","           4,498.4","              $11,159.46",       320,84.4,3.1,0.3,3.1,9.1,0.0,"   1,309",18.0,1.4,,,,,,,,,,,63.0,      97,37.0,19.0,6.0,1.0,0.0,5.0,17.0,33.0,27.0,15.0,22.7,77.3,213.0,485.0,501.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,,,,,,,,,     370,     347,,,,,0.0,     717,      18,   2.5,      13,   1.8,     107,  14.9, , , , ,   1.1,   0.8,   0.3,  97.5,   0.0,   0.0,   0.3,  49.0,  51.0,62.0,97.6,     258,99.6,  11.6 to 1,"     $18,805,402","  $59,323",    317.0,"          $45,689,416.00","           4,349.4","              $10,504.76","          $50,199,702.00","           4,498.4","              $11,159.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,,      74,      75,      70,      77,      80,,,,,,,,,0.0,     376,      13,   3.5,      13,   3.5,      28,   7.4, , , , ,   0.5,   1.6,   0.8,  97.1,   0.0,   0.0,   0.0,  49.5,  50.5,26.0,100.0,     114,100.0,  14.5 to 1,"     $18,805,402","  $59,323",    317.0,"          $45,689,416.00","           4,349.4","              $10,504.76","          $50,199,702.00","           4,498.4","              $11,159.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,,      61,      64,      62,      76,      76,,,,,,,,,0.0,     339,      11,   3.2,      11,   3.2,      35,  10.3, , , , ,   0.9,   2.1,   7.7,  86.7,   0.3,   0.0,   2.4,  55.5,  44.5,26.3,100.0,     110,100.0,  12.9 to 1,"     $18,805,402","  $59,323",    317.0,"          $45,689,416.00","           4,349.4","              $10,504.76","          $50,199,702.00","           4,498.4","              $11,159.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,,      64,      76,      71,      89,      82,,,,,,,,,0.0,     382,      19,   5.0,      19,   5.0,      57,  14.9, , , , ,   0.5,   0.3,   1.3,  97.1,   0.3,   0.5,   0.0,  50.3,  49.7,26.8,100.0,     119,100.0,  14.3 to 1,"     $18,805,402","  $59,323",    317.0,"          $45,689,416.00","           4,349.4","              $10,504.76","          $50,199,702.00","           4,498.4","              $11,159.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,,,,,,,     343,     360,,,,,,,0.0,     703,      24,   3.4,      22,   3.1,      89,  12.7, , , , ,   1.6,   0.7,   2.3,  94.0,   0.4,   0.4,   0.6,  52.9,  47.1,43.6,100.0,     208,100.0,  16.1 to 1,"     $18,805,402","  $59,323",    317.0,"          $45,689,416.00","           4,349.4","              $10,504.76","          $50,199,702.00","           4,498.4","              $11,159.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,,      72,      80,      76,      90,      84,,,,,,,,,0.0,     402,      13,   3.2,      13,   3.2,      40,  10.0, , , , ,   1.7,   2.0,   2.5,  93.5,   0.0,   0.0,   0.2,  50.2,  49.8,28.5,100.0,     124,100.0,  14.1 to 1,"     $18,805,402","  $59,323",    317.0,"          $45,689,416.00","           4,349.4","              $10,504.76","          $50,199,702.00","           4,498.4","              $11,159.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      47,      82,      80,      67,      85,      80,,,,,,,,,0.0,     441,       3,   0.7,       2,   0.5,      87,  19.7, , , , ,   0.5,   0.7,   3.9,  91.4,   0.2,   0.0,   3.4,  54.2,  45.8,29.8,96.6,      85,97.6,  14.8 to 1,"     $10,277,168","  $61,540",    167.0,"          $26,465,538.57","           2,358.6","              $11,220.87","          $30,319,528.11","           2,621.0","              $11,567.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,     188,     186,     180,     170,5.0,     729,      10,   1.4,       2,   0.3,     106,  14.5, , , , ,   1.6,   0.3,   2.7,  92.5,   0.5,   0.1,   2.2,  46.8,  53.2,47.0,100.0,     115,100.0,  15.5 to 1,"     $10,277,168","  $61,540",    167.0,"          $26,465,538.57","           2,358.6","              $11,220.87","          $30,319,528.11","           2,621.0","              $11,567.92",       178,86.0,2.8,0.0,3.4,7.9,0.0,     724,20.0,2.8,,,,,,,,,,,75.0,     102,50.0,23.0,2.0,0.0,0.0,6.0,21.0,38.0,19.0,18.0,26.5,73.5,121.0,523.0,537.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,277,168","  $61,540",    167.0,"          $26,465,538.57","           2,358.6","              $11,220.87","          $30,319,528.11","           2,621.0","              $11,567.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,,,,,,,     173,     186,     179,     182,,,,,0.0,     720,      11,   1.5,       6,   0.8,     115,  16.0, , , , ,   1.0,   1.0,   2.5,  93.5,   0.3,   0.0,   1.8,  54.6,  45.4,56.9,98.3,     279,95.0,  12.7 to 1,"     $10,277,168","  $61,540",    167.0,"          $26,465,538.57","           2,358.6","              $11,220.87","          $30,319,528.11","           2,621.0","              $11,567.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      29,     102,     106,     100,     105,      94,,,,,,,,,0.0,     536,      18,   3.4,       9,   1.7,      87,  16.2, , , , ,   1.3,   0.0,   5.0,  91.4,   0.0,   0.0,   2.2,  53.2,  46.8,33.1,95.5,     104,95.2,  16.2 to 1,"     $10,277,168","  $61,540",    167.0,"          $26,465,538.57","           2,358.6","              $11,220.87","          $30,319,528.11","           2,621.0","              $11,567.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      72,      36,      41,      35,      43,      29,      31,      35,,,,,,,0.0,     322,      71,  22.0,      48,  14.9,      72,  22.4, , , , ,   9.9,   5.9,  33.5,  43.8,   0.6,   0.9,   5.3,  52.8,  47.2,35.6,100.0,     148,100.0,   9.0 to 1,"      $8,371,976","  $59,376",    141.0,"          $21,596,474.65","           1,412.3","              $15,291.70","          $22,044,706.65","           1,453.3","              $15,168.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,,      60,      62,      59,      73,      71,      81,      70,,,,,,,0.0,     476,      89,  18.7,      61,  12.8,      71,  14.9, , , , ,   6.5,  16.0,  13.0,  54.2,   0.2,   0.0,  10.1,  50.8,  49.2,42.7,90.6,     168,85.1,  11.2 to 1,"      $8,371,976","  $59,376",    141.0,"          $21,596,474.65","           1,412.3","              $15,291.70","          $22,044,706.65","           1,453.3","              $15,168.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,,      58,      59,      57,      60,      62,      53,      67,,,,,,,0.0,     416,      69,  16.6,      44,  10.6,      66,  15.9, , , , ,   5.8,  13.0,   9.9,  60.1,   0.0,   0.0,  11.3,  54.3,  45.7,43.0,94.2,     173,86.7,   9.7 to 1,"      $8,371,976","  $59,376",    141.0,"          $21,596,474.65","           1,412.3","              $15,291.70","          $22,044,706.65","           1,453.3","              $15,168.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst-Pelham: Amherst Regional High,06050505,Public School,Amherst,MA,01002,"09,10,11,12",Amherst-Pelham,06050000,Public School District,,,,,,,,,,,     309,     292,     311,     307,0.0,"   1,219",     143,  11.7,      27,   2.2,     209,  17.1, , , , ,   8.4,   9.2,   8.7,  69.6,   0.4,   0.0,   3.6,  48.6,  51.4,93.1,98.3,     328,90.5,  13.1 to 1,"      $9,195,165","  $62,552",    147.0,"          $27,937,543.00","           1,783.6","              $15,663.57","          $30,523,280.00","           1,892.2","              $16,131.11",       306,88.9,3.9,0.0,2.0,5.2,0.0,"   1,219",25.0,2.1,,,,,,,,,,,138.0,     195,91.0,37.0,10.0,0.0,0.0,8.0,19.0,40.0,49.0,79.0,13.8,86.2,240.0,571.0,584.0
Amherst-Pelham: Amherst Regional Middle School,06050405,Public School,Amherst,MA,01002,"07,08",Amherst-Pelham,06050000,Public School District,,,,,,,,,     289,     278,,,,,0.0,     567,      82,  14.5,      21,   3.7,     118,  20.8, , , , ,   6.2,   8.3,  12.0,  65.8,   0.4,   0.0,   7.4,  49.2,  50.8,54.0,95.2,     188,86.7,  10.5 to 1,"      $9,195,165","  $62,552",    147.0,"          $27,937,543.00","           1,783.6","              $15,663.57","          $30,523,280.00","           1,892.2","              $16,131.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Andover High,00090505,Public School,Andover,MA,01810,"09,10,11,12",Andover,00090000,Public School District,,,,,,,,,,,     454,     446,     402,     432,0.0,"   1,734",     137,   7.9,       6,   0.3,     236,  13.6, , , , ,   1.5,   9.2,   3.1,  84.5,   0.1,   0.1,   1.6,  51.3,  48.7,129.2,95.8,     356,94.4,  13.4 to 1,"     $31,050,612","  $69,934",    444.0,"          $72,135,285.00","           6,178.0","              $11,676.15","          $78,868,514.00","           6,291.5","              $12,535.73",       438,97.5,1.1,0.0,0.5,0.7,0.2,"   1,734",4.0,0.2,,,,,,,,,,,337.0,     555,175.0,120.0,30.0,10.0,2.0,22.0,59.0,130.0,182.0,162.0,14.6,85.4,421.0,562.0,584.0
Andover: Andover West Middle,00090310,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,,,,,,,,     176,     178,     168,,,,,0.0,     522,      41,   7.9,       2,   0.4,      78,  14.9, , , , ,   0.6,   9.2,   4.0,  83.3,   0.0,   0.0,   2.9,  51.5,  48.5,41.4,95.1,     146,87.7,  12.6 to 1,"     $31,050,612","  $69,934",    444.0,"          $72,135,285.00","           6,178.0","              $11,676.15","          $78,868,514.00","           6,291.5","              $12,535.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Bancroft Elementary,00090003,Public School,Andover,MA,01810,"K,01,02,03,04,05",Andover,00090000,Public School District,,      72,      67,      76,      89,      82,      76,,,,,,,,0.0,     462,      34,   7.4,       9,   1.9,      63,  13.6, , , , ,   1.1,   6.1,   4.1,  85.5,   0.0,   0.0,   3.2,  49.4,  50.6,33.4,100.0,     113,100.0,  13.9 to 1,"     $31,050,612","  $69,934",    444.0,"          $72,135,285.00","           6,178.0","              $11,676.15","          $78,868,514.00","           6,291.5","              $12,535.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Doherty Middle,00090305,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,,,,,,,,     174,     200,     182,,,,,0.0,     556,      29,   5.2,       3,   0.5,     105,  18.9, , , , ,   1.1,   8.5,   2.5,  86.2,   0.0,   0.0,   1.8,  54.0,  46.0,43.1,100.0,      66,100.0,  12.9 to 1,"     $31,050,612","  $69,934",    444.0,"          $72,135,285.00","           6,178.0","              $11,676.15","          $78,868,514.00","           6,291.5","              $12,535.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Henry C Sanborn Elementary,00090010,Public School,Andover,MA,01810,"K,01,02,03,04,05",Andover,00090000,Public School District,,      47,      52,      59,      66,      65,      63,,,,,,,,0.0,     352,      34,   9.7,       4,   1.1,      29,   8.2, , , , ,   0.0,  12.2,   2.0,  84.4,   0.0,   0.0,   1.4,  51.4,  48.6,23.8,100.0,      88,98.9,  14.8 to 1,"     $31,050,612","  $69,934",    444.0,"          $72,135,285.00","           6,178.0","              $11,676.15","          $78,868,514.00","           6,291.5","              $12,535.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
