School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Acton,MA,01720,"07,08",Acton-Boxborough,06000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     503,     497,       0,       0,       0,       0,0.0,"   1,000",     181,  18.1,      10,   1.0,     144,  14.4, , , , ,   0.5,  22.5,   3.1,  70.9,   0.1,   0.0,   2.9,  49.5,  50.5,60.4,98.3,     312,100.0,  16.6 to 1,"     $12,648,104","  $71,633",    176.6,"          $34,029,465.00","           2,950.3","              $11,534.24","          $38,691,546.00","           3,038.7","              $12,732.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Acushnet Elementary School,00030025,Public School,Acushnet,MA,02743,"PK,K,01,02,03,04",Acushnet,00030000,Public School District,      27,      94,     105,     105,      96,     113,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     540,       6,   1.1,       1,   0.2,     106,  19.6, , , , ,   0.2,   0.4,   0.0,  99.4,   0.0,   0.0,   0.0,  50.0,  50.0,42.0,100.0,     140,100.0,  12.9 to 1,"      $3,838,899","  $51,989",     73.8,"           $9,428,799.15","           1,032.1","               $9,135.28","          $14,309,741.33","           1,363.5","              $10,494.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet: Albert F Ford Middle School,00030305,Public School,Acushnet,MA,02743,"05,06,07,08",Acushnet,00030000,Public School District,       0,       0,       0,       0,       0,       0,     132,     111,     128,     118,       0,       0,       0,       0,0.0,     489,       4,   0.8,       0,   0.0,      74,  15.1, , , , ,   1.4,   0.2,   1.0,  97.1,   0.0,   0.0,   0.2,  53.4,  46.6,31.8,100.0,     239,100.0,  15.4 to 1,"      $3,838,899","  $51,989",     73.8,"           $9,428,799.15","           1,032.1","               $9,135.28","          $14,309,741.33","           1,363.5","              $10,494.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Marlborough,MA,01752,"06,07,08,09,10,11,12",Advanced Math and Science Academy Charter (District),04300000,Charter District,       0,       0,       0,       0,       0,       0,       0,     191,     163,     121,      75,      83,       0,       0,0.0,     633,     120,  19.0,       0,   0.0,      21,   3.3, , , , ,   1.3,  19.6,   3.2,  73.1,   0.6,   0.0,   2.2,  55.8,  44.2,48.2,65.2,     304,100.0,  13.1 to 1,,,,,,,,,,,,,,,,,     158,0.0,0.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Agawam: Agawam Early Childhood Center,00050003,Public School,Agawam,MA,01001,PK,Agawam,00050000,Public School District,     117,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     117,       0,   0.0,       0,   0.0,      44,  37.6, , , , ,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  53.8,  46.2,7.0,100.0,      35,100.0,  16.7 to 1,"     $18,791,667","  $57,904",    324.5,"          $47,506,728.00","           4,064.2","              $11,689.10","          $52,198,996.00","           4,217.2","              $12,377.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Agawam High,00050505,Public School,Agawam,MA,01001,"09,10,11,12",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     381,     326,     316,     314,0.0,"   1,337",      25,   1.9,       8,   0.6,     166,  12.4, , , , ,   1.0,   0.4,   1.6,  96.2,   0.0,   0.3,   0.4,  51.5,  48.5,94.0,97.3,     380,99.7,  14.2 to 1,"     $18,791,667","  $57,904",    324.5,"          $47,506,728.00","           4,064.2","              $11,689.10","          $52,198,996.00","           4,217.2","              $12,377.67",       327,87.8,1.8,0.0,1.8,8.6,0.0,"   1,337",29.0,2.2,,,,,,,,,,,292.0,3.0,1.0,66.0,     101,42.0,17.0,4.0,2.0,1.0,10.0,24.0,26.0,24.0,17.0,33.7,66.3,219.0,481.0,505.0
Agawam: Agawam Junior High,00050405,Public School,Feeding Hills,MA,01030,"07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     369,     363,       0,       0,       0,       0,0.0,     732,      14,   1.9,      14,   1.9,      94,  12.8, , , , ,   1.1,   1.1,   2.3,  94.7,   0.1,   0.0,   0.7,  49.6,  50.4,63.9,97.7,     292,99.7,  11.5 to 1,"     $18,791,667","  $57,904",    324.5,"          $47,506,728.00","           4,064.2","              $11,689.10","          $52,198,996.00","           4,217.2","              $12,377.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Benjamin J Phelps,00050020,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      68,      76,      73,      75,      81,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     373,      18,   4.8,      17,   4.6,      37,   9.9, , , , ,   1.3,   1.3,   1.3,  95.7,   0.0,   0.0,   0.3,  48.3,  51.7,27.0,100.0,     113,100.0,  13.8 to 1,"     $18,791,667","  $57,904",    324.5,"          $47,506,728.00","           4,064.2","              $11,689.10","          $52,198,996.00","           4,217.2","              $12,377.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Clifford M Granger,00050010,Public School,Feeding Hills,MA,01030,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      67,      62,      63,      61,      78,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     331,       8,   2.4,       8,   2.4,      49,  14.8, , , , ,   0.9,   2.7,   6.0,  87.9,   0.0,   0.0,   2.4,  52.9,  47.1,24.8,100.0,     102,100.0,  13.4 to 1,"     $18,791,667","  $57,904",    324.5,"          $47,506,728.00","           4,064.2","              $11,689.10","          $52,198,996.00","           4,217.2","              $12,377.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: James Clark School,00050030,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      66,      64,      82,      78,      92,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     382,      30,   7.9,      30,   7.9,      58,  15.2, , , , ,   0.5,   1.6,   4.2,  92.1,   0.3,   0.0,   1.3,  51.3,  48.7,28.8,100.0,     117,100.0,  13.3 to 1,"     $18,791,667","  $57,904",    324.5,"          $47,506,728.00","           4,064.2","              $11,689.10","          $52,198,996.00","           4,217.2","              $12,377.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Roberta G. Doering School,00050303,Public School,Agawam,MA,01001,"05,06,07,08",Agawam,00050000,Public School District,       0,       0,       0,       0,       0,       0,     337,     346,       0,       0,       0,       0,       0,       0,0.0,     683,      28,   4.1,      24,   3.5,     108,  15.8, , , , ,   1.8,   1.2,   3.5,  91.7,   0.6,   0.6,   0.7,  53.0,  47.0,49.6,100.0,     227,100.0,  13.8 to 1,"     $18,791,667","  $57,904",    324.5,"          $47,506,728.00","           4,064.2","              $11,689.10","          $52,198,996.00","           4,217.2","              $12,377.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agawam: Robinson Park,00050025,Public School,Agawam,MA,01001,"K,01,02,03,04",Agawam,00050000,Public School District,       0,      81,      66,      81,      77,      87,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     392,      26,   6.6,      26,   6.6,      40,  10.2, , , , ,   1.5,   1.5,   0.8,  96.2,   0.0,   0.0,   0.0,  49.7,  50.3,29.5,100.0,     125,100.0,  13.3 to 1,"     $18,791,667","  $57,904",    324.5,"          $47,506,728.00","           4,064.2","              $11,689.10","          $52,198,996.00","           4,217.2","              $12,377.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,New Bedford,MA,02746,"K,01,02,03,04,05,06,07,08",Alma del Mar Charter School (District),04090000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Elementary,00070005,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      54,      77,      83,      80,      73,      88,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     455,       6,   1.3,       5,   1.1,      89,  19.6, , , , ,   0.7,   0.7,   5.3,  90.3,   0.0,   0.0,   3.1,  55.8,  44.2,30.3,96.7,      93,94.6,  15.0 to 1,"     $11,192,153","  $65,279",    171.5,"          $27,121,780.09","           2,318.4","              $11,698.54","          $30,815,601.81","           2,535.4","              $12,154.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury High,00070505,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     161,     173,     187,     158,2.0,     681,       8,   1.2,       2,   0.3,      99,  14.5, , , , ,   1.3,   0.9,   3.1,  91.6,   0.6,   0.1,   2.3,  50.1,  49.9,51.3,98.1,     120,99.2,  13.3 to 1,"     $11,192,153","  $65,279",    171.5,"          $27,121,780.09","           2,318.4","              $11,698.54","          $30,815,601.81","           2,535.4","              $12,154.19",       165,86.1,5.5,0.6,2.4,5.5,0.0,     679,11.0,1.6,,,,,,,,,,,145.0,145.0,100.0,83.0,     120,51.0,29.0,1.0,2.0,0.0,7.0,24.0,46.0,26.0,17.0,25.8,74.2,103.0,537.0,553.0
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $11,192,153","  $65,279",    171.5,"          $27,121,780.09","           2,318.4","              $11,698.54","          $30,815,601.81","           2,535.4","              $12,154.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,       0,       0,       0,       0,       0,       0,     178,     175,     191,     178,       0,       0,       0,       0,0.0,     722,       7,   1.0,       4,   0.6,     116,  16.1, , , , ,   0.7,   0.6,   3.0,  93.2,   0.1,   0.0,   2.4,  53.6,  46.4,57.7,100.0,     282,96.8,  12.5 to 1,"     $11,192,153","  $65,279",    171.5,"          $27,121,780.09","           2,318.4","              $11,698.54","          $30,815,601.81","           2,535.4","              $12,154.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      29,     107,     115,     102,      95,     103,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     551,      24,   4.4,      18,   3.3,      83,  15.1, , , , ,   0.5,   0.4,   4.5,  93.5,   0.4,   0.0,   0.7,  52.3,  47.7,32.2,98.4,      99,100.0,  17.1 to 1,"     $11,192,153","  $65,279",    171.5,"          $27,121,780.09","           2,318.4","              $11,698.54","          $30,815,601.81","           2,535.4","              $12,154.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      68,      51,      34,      37,      37,      45,      29,      30,       0,       0,       0,       0,       0,       0,0.0,     331,      74,  22.4,      55,  16.6,      79,  23.9, , , , ,  10.6,   7.9,  34.4,  41.7,   0.6,   0.9,   3.9,  53.2,  46.8,36.9,100.0,     118,94.9,   9.0 to 1,"      $8,343,529","  $61,196",    136.3,"          $22,235,518.00","           1,387.2","              $16,028.72","          $22,985,104.00","           1,451.9","              $15,830.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      52,      51,      61,      62,      76,      73,      83,       0,       0,       0,       0,       0,       0,0.0,     458,      91,  19.9,      59,  12.9,      80,  17.5, , , , ,   7.4,  17.9,  12.7,  52.4,   0.2,   0.4,   9.0,  52.6,  47.4,41.3,93.0,     142,89.4,  11.1 to 1,"      $8,343,529","  $61,196",    136.3,"          $22,235,518.00","           1,387.2","              $16,028.72","          $22,985,104.00","           1,451.9","              $15,830.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,       0,      51,      65,      61,      55,      61,      56,      54,       0,       0,       0,       0,       0,       0,0.0,     403,      63,  15.6,      37,   9.2,      61,  15.1, , , , ,   4.0,  12.7,  11.4,  59.6,   0.2,   0.0,  12.2,  56.1,  43.9,39.0,100.0,     131,96.2,  10.3 to 1,"      $8,343,529","  $61,196",    136.3,"          $22,235,518.00","           1,387.2","              $16,028.72","          $22,985,104.00","           1,451.9","              $15,830.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst-Pelham: Amherst Regional High,06050505,Public School,Amherst,MA,01002,"09,10,11,12",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     298,     307,     302,     294,0.0,"   1,201",     140,  11.7,      35,   2.9,     205,  17.1, , , , ,   8.7,   8.2,   9.7,  68.8,   0.4,   0.0,   4.2,  49.5,  50.5,95.8,95.8,     269,86.6,  12.5 to 1,"      $9,494,957","  $63,297",    150.0,"          $27,754,494.00","           1,712.0","              $16,211.36","          $30,833,174.00","           1,823.5","              $16,908.42",       312,89.4,2.9,1.0,2.6,4.2,0.0,"   1,201",10.0,0.8,,,,,,,,,,,285.0,285.0,100.0,127.0,     198,75.0,36.0,13.0,3.0,0.0,2.0,12.0,37.0,52.0,95.0,7.1,92.9,229.0,587.0,587.0
Amherst-Pelham: Amherst Regional Middle School,06050405,Public School,Amherst,MA,01002,"07,08",Amherst-Pelham,06050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     241,     289,       0,       0,       0,       0,0.0,     530,      80,  15.1,      25,   4.7,     110,  20.8, , , , ,   3.8,  11.9,  11.9,  63.8,   0.0,   0.0,   8.7,  50.0,  50.0,54.2,95.5,     175,92.0,   9.8 to 1,"      $9,494,957","  $63,297",    150.0,"          $27,754,494.00","           1,712.0","              $16,211.36","          $30,833,174.00","           1,823.5","              $16,908.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Andover High,00090505,Public School,Andover,MA,01810,"09,10,11,12",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     450,     443,     436,     390,0.0,"   1,719",     137,   8.0,      10,   0.6,     230,  13.4, , , , ,   1.7,   9.8,   3.4,  82.9,   0.1,   0.0,   2.0,  50.9,  49.1,131.9,97.1,     422,96.7,  13.0 to 1,"     $32,780,254","  $73,381",    446.7,"          $74,651,800.00","           6,170.3","              $12,098.61","          $82,484,113.00","           6,286.1","              $13,121.71",       416,96.6,0.7,0.0,1.2,1.4,0.0,"   1,719",11.0,0.6,,,,,,,,,,,402.0,402.0,100.0,340.0,     574,177.0,113.0,32.0,15.0,3.0,31.0,84.0,152.0,160.0,147.0,20.0,80.0,343.0,563.0,587.0
Andover: Andover West Middle,00090310,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,       0,       0,       0,       0,       0,       0,       0,     178,     181,     181,       0,       0,       0,       0,0.0,     540,      44,   8.1,       4,   0.7,      74,  13.7, , , , ,   0.6,  10.6,   3.3,  82.8,   0.2,   0.0,   2.6,  51.3,  48.7,40.7,100.0,     152,94.7,  13.3 to 1,"     $32,780,254","  $73,381",    446.7,"          $74,651,800.00","           6,170.3","              $12,098.61","          $82,484,113.00","           6,286.1","              $13,121.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
